종목명,ROE(자본수익률),EV/EABITDA(이익수익률),상승률,상승/하락,2019시초가,현재가
한양디지텍,2.34,4.92,1.221,상승,2900,3540
한양이엔지,28.01,2.16,1.072,상승,12450,13350
한양증권,1.73,n/a,1.115,상승,6800,7580
한온시스템,13.83,9.79,1.111,상승,10800,12000
한올바이오파마,2.89,253.39,0.757,하락,36400,27550
한익스프레스,8.16,10.6,1.609,상승,4445,7150
한일네트웍스,8.53,5.83,1.088,상승,5130,5580
한일단조,n/a,18.12,1.156,상승,1410,1630
한일사료,0.56,31.33,1.26,상승,1770,2230
한일시멘트,n/a,7.08,1.179,상승,117500,138500
한일진공,n/a,27.83,1.064,상승,1180,1255
한일철강,n/a,21.51,1.099,상승,1910,2100
한일현대시멘트,n/a,20.3,0.803,하락,43000,34550
한일홀딩스,40.39,12.87,1.048,상승,52100,54600
한일화학,3.11,6.13,1.161,상승,10550,12250
한전KPS,17.08,6.47,1.003,상승,32900,33000
한전기술,2.82,17.4,1.034,상승,20850,21550
한전산업,16.51,6.91,1.001,상승,3555,3560
한중엔시에스,6.25,6.99,1.066,상승,2800,2985
한진,5.6,15.28,0.856,하락,53500,45800
한진중공업,n/a,25.43,0.37,하락,18560,6870
한진중공업홀딩스,2.69,10.25,1.181,상승,2930,3460
한진칼,n/a,12.81,1.418,상승,29800,42250
한창,n/a,10.99,1.846,상승,1845,3405
한창산업,2.72,20.42,1.064,상승,5440,5790
한창제지,13.07,11.7,1.214,상승,3055,3710
한컴MDS,5.82,10.93,0.946,하락,14700,13900
한컴시큐어,0.5,38.07,1.014,상승,3195,3240
한컴유니맥스,n/a,19.56,4.059,상승,1700,6900
한컴지엠디,3.95,11.63,1.025,상승,2390,2450
한탑,n/a,69.91,1.063,상승,2315,2460
한프,n/a,n/a,1.36,상승,1305,1775
한화,10.73,8.91,0.851,하락,31450,26750
한화갤러리아타임월드,4.14,11.18,0.825,하락,28800,23750
한화생명,4.22,n/a,0.775,하락,4220,3270
한화손해보험,6.29,n/a,0.727,하락,5870,4265
한화수성스팩,1.0,n/a,1.027,상승,2055,2110
한화에스비아이스팩,n/a,n/a, n/a, n/a, n/a, n/a
한화에어로스페이스,1.42,14.49,1.003,상승,32400,32500
한화에이스스팩3호,0.28,n/a,1.079,상승,2080,2245
한화에이스스팩4호,0.34,n/a,1.034,상승,2045,2115
한화케미칼,3.08,9.94,1.059,상승,20350,21550
한화투자증권,7.95,n/a,1.165,상승,2055,2395
해덕파워웨이,n/a,n/a,1.0,보합,1100,1100
해마로푸드서비스,26.3,7.51,1.248,상승,2115,2640
해성디에스,11.05,6.32,1.235,상승,13000,16050
해성산업,0.53,33.2,1.087,상승,10400,11300
해성옵틱스,n/a,8.23,1.509,상승,2087,3150
해태제과식품,0.85,10.76,1.074,상승,9220,9900
핸디소프트,n/a,n/a,0.659,하락,7120,4690
핸즈코퍼레이션,1.31,8.49,1.043,상승,6290,6560
헝셩그룹,10.82,2.37,1.017,상승,1155,1175
헬릭스미스,n/a,n/a,0.762,하락,258900,197400
현대건설,5.99,8.02,0.954,하락,56500,53900
현대건설기계,7.47,5.38,0.978,하락,43300,42350
현대공업,1.04,16.52,1.299,상승,2595,3370
현대그린푸드,6.1,10.08,0.912,하락,14200,12950
현대글로비스,10.6,6.02,1.3,상승,128500,167000
현대로템,n/a,n/a,0.714,하락,28350,20250
현대리바트,9.03,6.91,0.942,하락,19950,18800
현대모비스,6.3,6.78,1.184,상승,190500,225500
현대미포조선,3.77,20.61,0.834,하락,59500,49600
현대바이오,7.34,54.48,3.239,상승,5480,17750
현대백화점,5.91,5.55,0.94,하락,90400,85000
현대비앤지스틸,5.2,3.81,0.993,하락,9100,9040
현대사료,n/a,75.74,0.934,하락,20400,19050
현대상선,n/a,n/a,0.943,하락,3745,3530
현대약품,0.91,43.06,0.99,하락,4735,4690
현대에이치씨엔,5.77,5.49,0.998,하락,4040,4030
현대엘리베이터,0.9,17.11,0.797,하락,111000,88500
현대오토에버,12.59,0.06, n/a, n/a, n/a, n/a
현대위아,n/a,7.76,1.262,상승,36100,45550
현대일렉트릭,n/a,n/a,0.843,하락,22350,18850
현대자동차,2.2,13.33,1.221,상승,117500,143500
현대정보기술,n/a,11.08,1.153,상승,1770,2040
현대제철,2.39,6.34,0.923,하락,45250,41750
현대종합상사,n/a,11.76,0.795,하락,29000,23050
현대중공업,n/a,n/a,0.911,하락,129500,118000
현대중공업지주,3.53,10.93,0.897,하락,348000,312000
현대차증권,5.84,n/a,1.19,상승,8610,10250
현대코퍼레이션홀딩스,2.58,17.98,0.892,하락,16200,14450
현대통신,25.22,4.44,0.94,하락,10900,10250
현대해상,10.33,n/a,0.752,하락,40750,30650
현대홈쇼핑,10.32,8.41,0.945,하락,98500,93100
현성바이탈,n/a,n/a,0.874,하락,2270,1985
현우산업,8.88,6.55,1.104,상승,3180,3510
현진소재,n/a,n/a,1.224,상승,2140,2620
형지I&C,n/a,36.7,1.026,상승,689,707
형지엘리트,n/a,44.9,1.003,상승,1875,1880
혜인,n/a,13.16,1.015,상승,5470,5550
호전실업,3.88,8.99,1.465,상승,9350,13700
호텔신라,15.41,11.96,1.214,상승,77700,94300
홈센타홀딩스,n/a,31.13,1.042,상승,1320,1375
홈캐스트,n/a,n/a,1.121,상승,4700,5270
화성밸브,5.02,24.22,0.785,하락,10663,8370
화성산업,13.61,2.58,0.948,하락,14500,13750
화승알앤에이,n/a,6.64,1.067,상승,2085,2225
화승엔터프라이즈,6.39,11.16,1.505,상승,10500,15800
화승인더스트리,7.94,7.86,1.53,상승,6830,10450
화신,n/a,11.41,1.252,상승,2400,3005
화신정공,1.35,6.03,0.974,하락,1165,1135
화신테크,n/a,n/a,1.084,상승,5370,5820
화이브라더스코리아,0.32,n/a,1.107,상승,2935,3250
화인베스틸,1.97,12.36,1.372,상승,2660,3650
화일약품,5.09,9.88,1.057,상승,6530,6900
화진,n/a,60.43,1.0,보합,3060,3060
화천기계,n/a,32.2,1.428,상승,1800,2570
화천기공,4.48,7.45,1.03,상승,41100,42350
환인제약,8.56,11.81,0.976,하락,19050,18600
황금에스티,6.48,5.64,1.074,상승,7890,8470
효성,110.16,6.76,1.519,상승,50100,76100
효성 ITX,13.65,7.92,1.014,상승,10400,10550
효성오앤비,6.49,24.56,1.055,상승,8400,8860
효성중공업,n/a,19.02,0.847,하락,41450,35100
효성첨단소재,n/a,11.75,1.122,상승,102500,115000
효성티앤씨,n/a,11.67,0.804,하락,184000,148000
효성화학,n/a,8.75,1.075,상승,140500,151000
후성,16.04,13.26,1.004,상승,7500,7530
휘닉스소재,n/a,n/a,1.342,상승,634,851
휠라코리아,16.03,10.88,1.508,상승,53300,80400
휴네시온,6.32,49.63,1.212,상승,7270,8810
휴니드테크놀러지스,19.38,3.36,1.033,상승,7970,8230
휴럼,n/a,n/a,1.284,상승,7010,9000
휴림로봇,n/a,n/a,1.126,상승,1030,1160
휴마시스,n/a,n/a,1.38,상승,1370,1890
휴맥스,n/a,n/a,1.438,상승,5390,7750
휴맥스홀딩스,n/a,n/a,1.266,상승,2900,3670
휴메딕스,8.76,15.89,0.989,하락,27700,27400
휴벡셀,n/a,n/a,0.378,하락,8990,3400
휴비스,4.58,5.9,0.992,하락,7520,7460
휴비츠,8.72,9.6,1.336,상승,8120,10850
휴스틸,4.39,4.46,0.996,하락,11850,11800
휴온스,31.64,12.53,0.804,하락,72100,58000
휴온스글로벌,8.22,7.86,0.901,하락,44450,40050
휴젤,9.8,25.41,1.079,상승,378500,408300
휴켐스,17.02,5.96,0.892,하락,24050,21450
흥구석유,3.38,27.95,2.159,상승,2710,5850
흥국,14.23,5.59,0.818,하락,6800,5560
흥국에프엔비,4.71,5.96,1.225,상승,6500,7960
흥국화재,7.69,n/a,0.966,하락,4830,4665
흥아해운,n/a,n/a,0.885,하락,400,354
희림,7.66,8.88,0.945,하락,4640,4385
힘스,n/a,n/a,2.358,상승,9670,22800
