종목명,ROE(자본수익률),EV/EABITDA(이익수익률),상승률,상승/하락,2019시초가,현재가
SH에너지화학,2.21,28.03,1.113,상승,1110,1235
SIMPAC,20.48,8.01,1.382,상승,2460,3400
SK,14.88,7.44,0.916,하락,261000,239000
SK3호스팩,0.94,n/a,1.027,상승,2050,2105
SK4호스팩,n/a,n/a,1.04,상승,2010,2090
SKC,8.09,8.54,0.917,하락,35950,32950
SKC 솔믹스,29.38,6.66,1.281,상승,2685,3440
SKC코오롱PI,13.8,13.18,0.896,하락,33500,30000
SK가스,3.9,8.97,1.133,상승,70500,79900
SK네트웍스,0.31,8.7,0.956,하락,5260,5030
SK디스커버리,5.56,14.64,0.973,하락,26200,25500
SK디앤디,17.29,13.7,1.061,상승,26900,28550
SK머티리얼즈,29.57,8.83,1.021,상승,150000,153100
SK바이오랜드,10.5,10.66,1.031,상승,16150,16650
SK이노베이션,9.12,6.98,0.906,하락,180000,163000
SK증권,2.85,n/a,1.084,상승,665,721
SK케미칼,0.87,12.03,0.85,하락,69900,59400
SK텔레콤,15.52,6.44,0.948,하락,267500,253500
SK하이닉스,38.53,1.62,1.096,상승,61300,67200
SM C&C,n/a,39.56,0.893,하락,2050,1830
SM Life Design,n/a,251.98,1.153,상승,1535,1770
SNK,33.32,0.0, n/a, n/a, n/a, n/a
SPC삼립,14.18,13.27,0.787,하락,127000,100000
STX,17.12,n/a,0.996,하락,11850,11800
STX엔진,17.41,10.01,1.11,상승,6750,7490
STX중공업,n/a,n/a,0.704,하락,5710,4020
SV인베스트먼트,29.13,n/a,1.472,상승,1725,2540
TCC스틸,9.19,6.12,1.287,상승,2040,2625
THE E&M,59.54,14.15,1.401,상승,835,1170
THE MIDONG,n/a,n/a,1.01,상승,3435,3470
TJ미디어,n/a,136.46,0.93,하락,3365,3130
TPC,14.45,12.88,1.023,상승,3770,3855
TS인베스트먼트,15.77,n/a,0.948,하락,2395,2270
TS트릴리온,34.24,47.39,1.415,상승,4100,5800
UCI,n/a,49.42,0.454,하락,4200,1905
WI,n/a,n/a,0.854,하락,9246,7900
WISCOM,0.9,15.21,0.962,하락,2750,2645
W홀딩컴퍼니,n/a,n/a,0.832,하락,553,460
YG PLUS,n/a,39.8,0.774,하락,2015,1560
YTN,0.36,8.76,0.96,하락,2125,2040
YW,3.07,11.66,1.044,상승,3975,4150
iMBC,n/a,11.13,1.156,상승,2250,2600
가비아,12.58,5.38,1.44,상승,6390,9200
가온미디어,3.89,15.38,1.683,상승,7990,13450
가온전선,0.04,11.43,1.103,상승,17500,19300
감마누,n/a,n/a,1.0,보합,408,408
강남제비스코,7.71,25.95,1.041,상승,24650,25650
강스템바이오텍,n/a,n/a,0.864,하락,22100,19100
강원랜드,8.39,13.78,0.973,하락,31500,30650
갤럭시아에스엠,n/a,n/a,1.183,상승,1665,1970
갤럭시아컴즈,6.49,18.03,1.42,상승,2765,3925
게임빌,n/a,n/a,0.798,하락,54500,43500
경남스틸,6.49,7.95,0.965,하락,2000,1930
경남제약,16.85,n/a,1.0,보합,17200,17200
경농,3.08,15.67,1.593,상승,11050,17600
경동나비엔,9.23,10.45,1.124,상승,41550,46700
경동도시가스,11.11,2.37,0.916,하락,33300,30500
경동인베스트,7.35,2.79,1.107,상승,37250,41250
경동제약,2.42,11.36,0.795,하락,11400,9060
경방,2.87,8.25,1.005,상승,10750,10800
경보제약,9.03,9.81,0.971,하락,10300,10000
경인양행,6.59,10.91,1.176,상승,5800,6820
경인전자,n/a,n/a,1.497,상승,21950,32850
경창산업,n/a,7.48,0.895,하락,1385,1240
계룡건설산업,24.46,2.85,1.274,상승,21750,27700
계양전기,5.16,6.29,1.043,상승,3400,3545
고려개발,0.58,7.33,0.998,하락,4875,4865
고려산업,4.34,11.81,1.375,상승,2185,3005
고려시멘트,5.67,13.28,1.225,상승,2640,3235
고려신용정보,25.63,6.63,1.21,상승,3790,4585
고려아연,8.64,8.1,1.081,상승,427500,462000
고려제강,0.25,6.12,1.092,상승,22950,25050
고려제약,10.96,17.42,1.01,상승,7240,7310
고영,21.86,22.43,1.109,상승,82800,91800
골드퍼시픽,n/a,n/a,1.843,상승,1430,2635
골든브릿지이안5호,n/a,n/a,1.045,상승,1990,2080
골든센츄리,14.99,2.25,1.224,상승,776,950
골프존,10.63,6.1,2.096,상승,33500,70200
골프존뉴딘홀딩스,n/a,26.12,1.053,상승,3755,3955
골프존데카,n/a,n/a,4.11,상승,730,3000
관악산업,9.29,3.02,0.95,하락,4690,4455
광동제약,5.61,7.48,1.039,상승,6890,7160
광림,n/a,45.72,1.085,상승,2525,2740
광명전기,2.93,22.12,0.934,하락,2730,2550
광전자,3.07,11.39,1.247,상승,2025,2525
광주신세계,7.52,5.14,1.031,상승,177500,183000
광진실업,0.92,13.42,0.979,하락,3580,3505
광진윈텍,n/a,n/a,1.728,상승,2295,3965
교보7호스팩,0.23,n/a,1.102,상승,2050,2260
교보8호스팩,n/a,n/a,1.06,상승,2015,2135
교보증권,9.11,n/a,1.175,상승,9190,10800
구영테크,9.65,9.06,1.067,상승,1560,1665
국도화학,9.5,4.68,1.049,상승,45700,47950
국동,6.53,10.03,0.78,하락,2289,1785
국보,n/a,n/a,1.885,상승,1135,2140
국보디자인,13.35,5.98,1.159,상승,13500,15650
국순당,n/a,n/a,1.012,상승,4060,4110
국영지앤엠,n/a,101.78,0.853,하락,1595,1360
국일신동,2.46,27.76,1.833,상승,4500,8250
국일제지,n/a,105.63,3.112,상승,1210,3765
국제약품,3.21,16.64,1.106,상승,4240,4690
굿센,n/a,n/a,0.499,하락,22050,11000
그린케미칼,2.32,5.61,1.032,상승,3600,3715
그린플러스,9.27,7.33,1.339,상승,8290,11100
극동유화,10.57,8.18,1.077,상승,3295,3550
글로벌에스엠,n/a,7.18,1.02,상승,763,778
글로벌텍스프리,12.13,41.72,1.269,상승,3487,4425
글로본,6.66,51.08,0.71,하락,3840,2725
금강공업,5.18,4.95,1.099,상승,4100,4505
금강철강,4.86,29.56,0.979,하락,3810,3730
금비,7.15,5.86,1.035,상승,65300,67600
금양,29.84,8.48,0.972,하락,2350,2285
금호산업,n/a,11.71,1.197,상승,11950,14300
금호석유화학,23.45,5.25,1.161,상승,87000,101000
금호에이치티,7.23,6.22,0.773,하락,7140,5520
금호전기,n/a,n/a,0.549,하락,6670,3665
금호타이어,n/a,21.84,0.747,하락,5310,3965
금화피에스시,19.69,4.14,1.103,상승,30150,33250
기가레인,n/a,33.06,1.215,상승,1835,2230
기산텔레콤,n/a,n/a,1.284,상승,2830,3635
기신정기,3.94,10.93,1.182,상승,3435,4060
기아자동차,4.27,4.42,1.28,상승,33450,42800
기업은행,8.62,n/a,1.0,보합,13950,13950
까뮤이앤씨,2.93,17.71,0.964,하락,1370,1320
깨끗한나라,n/a,n/a,0.787,하락,3175,2500
나노,n/a,12.67,1.148,상승,1925,2210
나노메딕스,n/a,n/a,1.224,상승,5660,6930
나노스,n/a,750.95,1.131,상승,4925,5570
나노신소재,8.93,13.39,1.3,상승,15350,19950
나노엔텍,11.24,20.68,1.097,상승,4400,4825
나노캠텍,1.8,15.96,1.016,상승,5690,5780
나눔테크,36.43,5.85,0.833,하락,3600,3000
나라소프트,41.31,41.64,0.831,하락,940,781
나라엠앤디,4.74,11.26,0.852,하락,5280,4500
나무가,12.19,5.29,2.411,상승,19000,45800
나무기술,n/a,n/a,2.957,상승,1390,4110
나스미디어,15.03,9.15,1.384,상승,28650,39650
나우아이비캐피탈,3.77,n/a,1.176,상승,4195,4935
나이벡,n/a,n/a,0.786,하락,9575,7530
나이스디앤비,22.21,9.54,1.15,상승,7150,8220
나이스정보통신,15.94,3.82,1.071,상승,19600,21000
남광토건,12.37,10.08,0.98,하락,12550,12300
남선알미늄,15.94,23.34,1.494,상승,2885,4310
남성,n/a,43.42,1.638,상승,1945,3185
남양유업,0.23,10.03,0.913,하락,624000,570000
남영비비안,n/a,n/a,1.114,상승,6160,6860
남해화학,1.97,18.31,0.902,하락,11750,10600
남화산업,3.37,39.46,0.909,하락,9650,8770
남화토건,0.46,93.16,0.812,하락,11300,9170
내츄럴엔도텍,n/a,n/a,0.455,하락,13600,6190
네오디안테크놀로지,n/a,n/a,0.892,하락,1805,1610
네오셈,n/a,n/a,0.945,하락,1720,1625
네오오토,7.73,4.31,1.367,상승,4280,5850
네오위즈,11.42,10.49,1.092,상승,12500,13650
네오위즈홀딩스,6.6,12.61,1.21,상승,11200,13550
네오티스,6.83,6.99,0.988,하락,4205,4155
네오팜,28.76,16.79,1.132,상승,45500,51500
네오펙트,n/a,n/a,0.859,하락,7440,6390
네이블커뮤니케이션즈,n/a,n/a,0.966,하락,4160,4020
네이처셀,5.41,293.65,0.957,하락,11700,11200
네추럴FNP,1.89,11.56,0.881,하락,3500,3085
네패스,17.0,4.06,2.891,상승,9840,28450
네패스신소재,n/a,n/a,0.654,하락,11423,7470
넥센,6.63,9.56,1.18,상승,5500,6490
넥센타이어,7.5,5.59,1.098,상승,9070,9960
넥스턴,5.93,29.89,0.986,하락,11100,10950
넥스트BT,3.25,26.71,1.2,상승,1550,1860
넥스트사이언스,n/a,n/a,0.949,하락,6100,5790
넥스트아이,n/a,19.59,1.048,상승,2310,2420
넥슨지티,n/a,n/a,2.117,상승,6660,14100
넵튠,n/a,n/a,0.995,하락,10150,10100
넷게임즈,n/a,n/a,1.18,상승,7230,8530
넷마블,4.36,30.11,1.066,상승,113500,121000
노랑풍선,11.83,0.0, n/a, n/a, n/a, n/a
노루페인트,4.2,7.78,0.952,하락,8300,7900
노루홀딩스,n/a,11.91,1.033,상승,12200,12600
노바렉스,14.51,10.9,1.423,상승,15850,22550
노바텍,29.21,16.55,0.947,하락,26500,25100
노브메타파마,n/a,n/a,0.95,하락,44400,42200
녹십자,3.28,20.8,0.908,하락,136000,123500
녹십자랩셀,2.09,345.22,0.844,하락,45900,38750
녹십자셀,24.18,113.09,0.92,하락,50800,46750
녹십자엠에스,n/a,n/a,0.813,하락,12600,10250
녹십자홀딩스,2.28,24.47,0.912,하락,24900,22700
녹원씨엔아이,9.9,7.86,0.965,하락,9050,8730
농심,4.54,9.02,0.98,하락,253000,248000
농심홀딩스,5.32,7.3,1.243,상승,70000,87000
농우바이오,14.28,17.34,1.049,상승,11200,11750
누리텔레콤,21.34,3.98,1.093,상승,5690,6220
누리플랜,2.46,n/a,0.927,하락,6600,6120
뉴로스,n/a,50.55,0.912,하락,6800,6200
뉴보텍,3.66,21.5,1.028,상승,1450,1490
뉴인텍,n/a,n/a,0.983,하락,829,815
뉴지랩,n/a,n/a,1.591,상승,4400,7000
뉴트리,7.79,10.54,1.659,상승,12300,20400
뉴파워프라즈마,10.65,6.85,1.759,상승,12050,21200
뉴프라이드,n/a,n/a,0.859,하락,2050,1760
뉴프렉스,13.73,5.35,0.944,하락,2870,2710
다나와,19.68,9.34,1.726,상승,15150,26150
다날,1.74,25.45,0.937,하락,3550,3325
다믈멀티미디어,n/a,n/a,0.898,하락,4285,3850
다산네트웍스,n/a,17.24,1.52,상승,7040,10700
다스코,14.67,5.84,0.833,하락,8260,6880
다우기술,9.78,5.59,1.11,상승,19050,21150
다우데이타,7.28,5.9,1.013,상승,9500,9620
다원넥스뷰,2.87,4.09, n/a, n/a, n/a, n/a
다원시스,4.31,25.84,0.84,하락,16900,14200
다이노나,n/a,n/a,0.837,하락,7690,6440
다이오진,34.1,18.22,0.494,하락,4650,2295
대교,2.94,11.43,0.929,하락,6620,6150
대구백화점,n/a,n/a,0.782,하락,9100,7120
대덕전자,35.2,8.93,1.353,상승,9020,12200
대동고려삼,5.39,12.15,1.054,상승,7000,7380
대동공업,0.58,15.15,1.17,상승,5220,6110
대동금속,2.83,10.79,1.279,상승,9853,12600
대동기어,0.35,10.64,1.238,상승,2775,3435
대동스틸,0.07,638.01,0.73,하락,10400,7590
대동전자,0.44,16.65,1.22,상승,3345,4080
대륙제관,3.56,6.26,1.072,상승,4935,5290
대림비앤코,2.62,8.9,1.011,상승,4570,4620
대림산업,12.37,4.48,1.173,상승,101000,118500
대림씨엔에스,n/a,12.31,0.925,하락,10550,9760
대림제지,9.12,5.7,1.23,상승,1480,1820
대림통상,n/a,22.86,1.045,상승,4200,4390
대명코퍼레이션,n/a,16.81,1.088,상승,1935,2105
대보마그네틱,18.44,52.99,0.657,하락,73200,48100
대봉엘에스,8.65,7.4,1.267,상승,6340,8030
대상,7.27,7.0,1.018,상승,25050,25500
대상홀딩스,4.55,6.29,0.977,하락,7850,7670
대성미생물,10.02,15.34,1.162,상승,17900,20800
대성산업,n/a,21.91,1.217,상승,4200,5110
대성에너지,4.28,3.82,1.011,상승,5400,5460
대성엘텍,n/a,18.62,0.935,하락,861,805
대성창투,3.27,n/a,1.034,상승,1760,1820
대성파인텍,5.93,26.89,1.015,상승,1650,1675
대성홀딩스,4.79,5.65,1.268,상승,6300,7990
대신밸런스제4호스팩,0.54,n/a,0.995,하락,2100,2090
대신밸런스제5호스팩,n/a,n/a,1.6,상승,2500,4000
대신밸런스제6호스팩,n/a,n/a,1.07,상승,2010,2150
대신정보통신,3.57,n/a,0.891,하락,1645,1465
대신증권,7.34,n/a,1.22,상승,11350,13850
대아티아이,7.16,59.06,0.745,하락,8300,6180
대양금속,19.3,6.86,2.284,상승,3625,8280
대양전기공업,6.69,8.38,1.137,상승,12050,13700
대양제지,30.75,2.59,1.449,상승,3130,4535
대영포장,7.88,8.9,1.206,상승,1140,1375
대우건설,13.2,4.77,0.917,하락,5440,4990
대우부품,2.98,20.82,1.079,상승,2140,2310
대우조선해양,9.53,5.53,0.896,하락,34250,30700
대웅,5.36,10.95,0.997,하락,18050,18000
대웅제약,n/a,33.64,0.829,하락,190000,157500
대원,11.72,4.72,1.255,상승,11550,14500
대원강업,3.77,5.07,1.19,상승,3885,4625
대원모방,4.76,36.97,1.167,상승,19800,23100
대원미디어,2.89,10.18,0.828,하락,10150,8400
대원산업,10.66,2.7,1.234,상승,5390,6650
대원전선,1.53,20.97,0.847,하락,1635,1385
대원제약,13.51,7.76,1.011,상승,15882,16050
대원화성,3.62,12.32,1.038,상승,1830,1900
대유,13.43,22.51,0.785,하락,18400,14450
대유에이텍,n/a,11.58,0.868,하락,1325,1150
대유에이피,24.53,4.51,1.325,상승,5810,7700
대유위니아,n/a,11.22,1.519,상승,2600,3950
대유플러스,3.09,2.68,1.089,상승,861,938
대정화금,9.44,9.34,1.12,상승,12950,14500
대주산업,3.31,15.24,1.103,상승,1450,1600
대주이엔티,11.54,5.01,1.549,상승,1620,2510
대주전자재료,0.58,39.08,0.938,하락,17600,16500
대창,5.7,13.47,1.594,상승,922,1470
대창단조,7.11,5.2,0.95,하락,42700,40550
대창솔루션,n/a,n/a,0.957,하락,815,780
대창스틸,n/a,23.13,1.064,상승,2755,2930
대한과학,7.19,9.82,1.112,상승,4660,5180
대한광통신,14.97,18.4,0.899,하락,5150,4630
대한뉴팜,5.18,7.57,1.249,상승,10250,12800
대한방직,9.26,n/a,1.401,상승,14700,20600
대한약품,22.26,5.11,0.956,하락,38800,37100
대한유화,16.22,2.2,0.893,하락,153500,137000
대한전선,n/a,18.06,0.768,하락,1015,780
대한제강,n/a,5.9,1.5,상승,5600,8400
대한제당,2.16,10.31,1.085,상승,18900,20500
대한제분,7.05,5.45,1.165,상승,176000,205000
대한항공,n/a,7.24,0.985,하락,32950,32450
대한해운,11.88,9.19,1.177,상승,21700,25550
대한화섬,9.15,25.37,1.01,상승,104000,105000
대현,8.34,4.44,1.065,상승,2315,2465
대호에이엘,2.72,33.53,0.919,하락,4190,3850
대호피앤씨,3.01,12.35,1.03,상승,1000,1030
대화제약,8.65,40.91,0.861,하락,20100,17300
더블유게임즈,19.02,8.49,1.126,상승,60400,68000
더블유에프엠,n/a,n/a,1.1,상승,3110,3420
더존비즈온,23.36,21.94,1.368,상승,51900,71000
더콘텐츠온,3.37,25.51,1.301,상승,8760,11400
덕산네오룩스,14.28,14.23,1.098,상승,14350,15750
덕산하이메탈,6.49,29.06,1.231,상승,4550,5600
덕성,n/a,58.88,0.869,하락,3500,3040
덕신하우징,12.75,5.02,1.0,보합,1555,1555
덕양산업,n/a,3.17,1.132,상승,1285,1455
덕우전자,n/a,7.57,1.062,상승,8100,8600
데브시스터즈,n/a,n/a,1.087,상승,8290,9010
데이타솔루션,n/a,n/a,1.195,상승,2980,3560
데이터스트림즈,n/a,266.78,1.256,상승,4300,5400
데일리블록체인,n/a,n/a,0.801,하락,1485,1190
데코앤이,n/a,n/a,0.858,하락,212,182
덱스터,5.4,20.01,1.691,상승,4825,8160
덴티움,19.25,17.19,1.236,상승,58000,71700
도이치모터스,20.58,6.16,2.31,상승,5130,11850
도화엔지니어링,5.69,14.13,1.196,상승,8820,10550
동구바이오제약,8.32,23.33,0.995,하락,19550,19450
동국S&C,n/a,157.43,0.883,하락,2955,2610
동국산업,2.82,8.9,1.131,상승,2440,2760
동국알앤에스,3.96,6.99,1.013,상승,2320,2350
동국제강,n/a,8.54,0.898,하락,7240,6500
동국제약,16.27,8.31,1.005,상승,57900,58200
동남합성,10.39,7.42,1.102,상승,21965,24200
동방,14.67,8.28,1.433,상승,1385,1985
동방선기,n/a,n/a,1.236,상승,2010,2485
동방아그로,4.69,9.58,1.095,상승,6620,7250
동부건설,22.21,4.36,1.096,상승,7390,8100
동부스팩5호,0.98,n/a,1.052,상승,2020,2125
동부제철,n/a,43.6,1.192,상승,6420,7650
동북아12호선박투자,6.0,16.23,1.01,상승,4970,5020
동북아13호선박투자,6.0,16.58,1.002,상승,5000,5010
동서,9.39,35.99,1.073,상승,17850,19150
동성제약,n/a,2120.84,1.194,상승,15200,18150
동성코퍼레이션,n/a,15.33,1.157,상승,5100,5900
동성화인텍,n/a,n/a,1.148,상승,7840,9000
동성화학,5.62,6.85,1.241,상승,13700,17000
동신건설,1.13,33.54,1.048,상승,5810,6090
동아쏘시오홀딩스,n/a,12.42,0.909,하락,108000,98200
동아에스티,1.38,14.84,0.967,하락,104500,101000
동아엘텍,11.19,4.96,1.137,상승,8370,9520
동아지질,11.32,3.57,1.223,상승,17500,21400
동아타이어,4.88,9.39,1.076,상승,12550,13500
동아화성,6.56,5.19,1.475,상승,4075,6010
동양,0.39,46.69,0.867,하락,2070,1795
동양고속,1.17,12.03,0.899,하락,29150,26200
동양네트웍스,n/a,n/a,0.871,하락,2280,1985
동양물산기업,n/a,23.5,1.019,상승,1870,1905
동양생명,2.34,n/a,0.825,하락,4785,3950
동양에스텍,n/a,23.15,1.03,상승,3010,3100
동양이엔피,2.54,5.65,1.249,상승,9250,11550
동양철관,n/a,63.28,0.815,하락,1540,1255
동양파일,n/a,196.2,1.108,상승,5100,5650
동양피스톤,12.88,5.99,1.097,상승,4950,5430
동양피엔에프,20.26,3.71,1.663,상승,4985,8290
동우팜투테이블,10.07,5.17,1.276,상승,3745,4780
동운아나텍,n/a,n/a,1.272,상승,5660,7200
동원F&B,9.26,11.58,1.0,보합,284000,284000
동원개발,18.79,2.27,1.229,상승,3990,4905
동원금속,n/a,7.03,1.16,상승,711,825
동원산업,7.35,6.45,1.221,상승,204000,249000
동원수산,4.08,8.73,0.996,하락,9000,8960
동원시스템즈,13.17,9.36,1.463,상승,27100,39650
동일고무벨트,5.65,5.28,1.05,상승,6370,6690
동일금속,8.93,6.09,1.148,상승,10450,12000
동일기연,n/a,n/a,1.143,상승,12900,14750
동일산업,4.48,5.5,1.116,상승,58600,65400
동일제강,0.1,13.01,0.924,하락,3210,2965
동일철강,n/a,n/a,1.423,상승,3845,5470
동진쎄미켐,16.85,5.71,1.646,상승,7350,12100
동화기업,7.02,6.33,0.903,하락,20600,18600
동화약품,3.39,11.27,1.036,상승,9190,9520
두산,n/a,9.29,0.848,하락,111500,94500
두산건설,n/a,n/a,0.871,하락,1360,1185
두산밥캣,7.38,6.66,1.073,상승,31450,33750
두산인프라코어,14.04,5.89,0.859,하락,7600,6530
두산중공업,n/a,8.42,0.77,하락,8456,6510
두올,9.1,2.19,1.202,상승,2870,3450
두올산업,n/a,19.57,0.7,하락,1542,1080
두원석재,n/a,10.48,0.958,하락,2840,2720
듀오백,n/a,n/a,1.056,상승,2215,2340
듀켐바이오,n/a,55.28,1.14,상승,10000,11400
드래곤플라이,n/a,n/a,1.118,상승,3530,3945
드림시큐리티,14.31,32.12,1.042,상승,3310,3450
드림어스컴퍼니,n/a,83.94,1.1,상승,7080,7790
드림텍,29.49,0.89, n/a, n/a, n/a, n/a
드림티엔터테인먼트,n/a,2.0,2.268,상승,295,669
디딤,8.37,15.09,0.95,하락,2800,2660
디바이스이엔지,25.39,3.15,1.5,상승,7900,11850
디스플레이텍,2.01,10.98,0.984,하락,3870,3810
디씨엠,4.29,11.84,1.133,상승,10900,12350
디아이,7.86,4.49,1.213,상승,3515,4265
디아이동일,0.0,6.35,1.409,상승,59600,84000
디아이씨,n/a,9.68,0.493,하락,6730,3315
디아이티,5.29,17.62,1.399,상승,6490,9080
디알젬,20.99,16.37,1.528,상승,6870,10500
디알텍,4.31,19.89,1.485,상승,1320,1960
디앤씨미디어,14.36,29.15,1.092,상승,14200,15500
디에스케이,21.27,5.87,1.712,상승,6600,11300
디에스티,n/a,28.81,1.271,상승,1015,1290
디에이치피코리아,11.03,10.34,1.088,상승,8670,9430
디에이테크놀로지,n/a,52.32,1.062,상승,3555,3775
디에이피,7.58,3.46,1.217,상승,2740,3335
디엔에이링크,n/a,n/a,1.0,보합,4150,4150
디엔에프,16.46,4.43,0.969,하락,7640,7400
디엠티,5.2,18.66,0.971,하락,2955,2870
디오,4.87,33.68,1.345,상승,29000,39000
디오스텍,n/a,n/a,0.686,하락,1035,710
디와이,1.75,4.29,1.047,상승,5530,5790
디와이파워,18.33,4.27,0.99,하락,14450,14300
디이엔티,n/a,n/a,1.189,상승,1960,2330
디자인,3.24,46.13,0.987,하락,9860,9730
디젠스,n/a,40.69,1.21,상승,533,645
디지아이,n/a,n/a,1.106,상승,2585,2860
디지캡,5.53,10.5,1.287,상승,3785,4870
디지탈옵틱,n/a,n/a,0.719,하락,1073,771
디지털대성,8.48,6.19,2.231,상승,4420,9860
디지틀조선,7.24,9.73,1.609,상승,1930,3105
디케이디앤아이,8.11,20.43,1.705,상승,2000,3410
디케이락,6.92,10.24,1.185,상승,9490,11250
디케이앤디,8.78,6.89,1.143,상승,4330,4950
디케이티,n/a,7.96,0.756,하락,14750,11150
디티알오토모티브,10.76,3.26,1.043,상승,32300,33700
디티앤씨,1.98,9.84,1.453,상승,8260,12000
디피씨,7.99,15.99,1.04,상승,5730,5960
디피코,3.95,18.22,3.649,상승,1110,4050
딜리,4.52,105.01,1.062,상승,1950,2070
라온시큐어,21.09,14.56,1.679,상승,2100,3525
라온테크,n/a,44.81,0.759,하락,6180,4690
라이브플렉스,n/a,95.98,1.3,상승,671,872
라이온켐텍,1.79,20.51,1.037,상승,8135,8440
라이트론,n/a,n/a,0.604,하락,8980,5420
라이프사이언스테크놀로지,n/a,n/a,1.497,상승,2900,4340
락앤락,4.68,19.49,0.756,하락,20700,15650
래몽래인,64.73,n/a,3.0,상승,1000,3000
램테크놀러지,8.2,12.37,1.26,상승,3135,3950
랩지노믹스,n/a,48.89,1.008,상승,6300,6350
러셀,0.16,8.53,1.255,상승,1590,1995
럭스피아,6.01,2.9,0.929,하락,700,650
럭슬,n/a,n/a,0.546,하락,1760,961
레고켐바이오,n/a,n/a,0.877,하락,57600,50500
레드로버,n/a,n/a,0.63,하락,1850,1165
레드캡투어,9.76,2.12,1.17,상승,15000,17550
레이언스,8.77,9.66,0.897,하락,16500,14800
로고스바이오,n/a,n/a,1.102,상승,13200,14550
로보로보,10.89,11.5,2.141,상승,1980,4240
로보스타,n/a,51.72,0.973,하락,24100,23450
로보쓰리,n/a,n/a,0.422,하락,5170,2180
로보티즈,4.87,69.21,0.858,하락,17900,15350
로스웰,6.23,4.87,1.372,상승,911,1250
로지시스,4.49,26.27,1.115,상승,2815,3140
로체시스템즈,n/a,968.25,1.406,상승,3100,4360
롯데관광개발,n/a,230.51,0.907,하락,14450,13100
롯데손해보험,16.44,n/a,0.91,하락,2670,2430
롯데쇼핑,n/a,8.56,0.775,하락,211500,164000
롯데정밀화학,16.72,3.63,1.17,상승,40850,47800
롯데정보통신,9.65,7.35,1.305,상승,35600,46450
롯데제과,0.94,8.84,1.042,상승,153000,159500
롯데지주,2.8,27.46,0.828,하락,52400,43400
롯데칠성음료,n/a,10.48,1.219,상승,139421,170000
롯데케미칼,13.04,3.91,0.933,하락,277500,259000
롯데푸드,6.31,8.36,0.793,하락,702000,557000
롯데하이마트,4.18,6.02,0.968,하락,46500,45000
루멘스,n/a,185.23,0.747,하락,3040,2270
루미마이크로,n/a,n/a,1.146,상승,1440,1650
루켄테크놀러지스,2.11,8.22,0.652,하락,9200,6000
루트로닉,n/a,n/a,1.113,상승,8200,9130
룽투코리아,22.56,10.82,1.386,상승,3650,5060
리노공업,19.82,12.01,1.283,상승,47400,60800
리노스,3.2,29.48,0.86,하락,2065,1775
리더스코스메틱,n/a,n/a,0.918,하락,11000,10100
리드,n/a,n/a,0.509,하락,11400,5800
리드코프,9.83,18.75,1.076,상승,5230,5630
리메드,n/a,n/a,1.07,상승,14900,15950
리켐,n/a,30.81,0.885,하락,3900,3450
린드먼아시아,12.51,n/a,0.973,하락,4975,4840
링네트,6.51,11.76,1.44,상승,3520,5070
링크제니시스,10.27,28.73,0.787,하락,7230,5690
마니커,n/a,19.81,1.593,상승,769,1225
마이크로컨텍솔,n/a,n/a,1.102,상승,2405,2650
마이크로텍,n/a,n/a,1.106,상승,1410,1560
마이크로프랜드,n/a,102.98,1.103,상승,4170,4600
마제스타,n/a,n/a,1.0,보합,1475,1475
마크로젠,3.34,22.41,1.101,상승,29300,32250
만도,7.64,5.7,1.038,상승,29050,30150
만호제강,1.17,10.05,1.1,상승,17450,19200
매일유업,18.39,6.26,1.13,상승,79000,89300
매일홀딩스,9.68,3.66,1.319,상승,10500,13850
매직마이크로,n/a,23.97,0.48,하락,3500,1680
매커스,18.7,5.05,1.171,상승,4130,4835
맥스로텍,5.66,5.55,1.096,상승,1245,1365
맥쿼리인프라,n/a,n/a
맵스리얼티1,n/a,n/a
머큐리,25.53,13.34,1.175,상승,10600,12450
멀티캠퍼스,19.36,10.29,1.155,상승,44000,50800
메가스터디,9.12,10.2,1.166,상승,9860,11500
메가스터디교육,20.86,4.49,1.447,상승,26050,37700
메가엠디,1.91,7.79,0.956,하락,2365,2260
메디쎄이,16.31,10.78,1.992,상승,6050,12050
메디아나,6.95,10.93,1.257,상승,6120,7690
메디안디노스틱,5.45,41.59,1.591,상승,27000,42950
메디젠휴먼케어,n/a,n/a,1.163,상승,12000,13950
메디톡스,31.5,33.68,0.757,하락,582100,440600
메디파트너생명공학,n/a,n/a,1.013,상승,6970,7060
메디포스트,n/a,n/a,0.911,하락,38459,35050
메디프론,n/a,n/a,0.98,하락,4795,4700
메리츠금융지주,13.87,n/a,1.281,상승,11550,14800
메리츠종금증권,13.0,n/a,1.197,상승,4285,5130
메리츠화재,11.55,n/a,1.007,상승,21800,21950
메이슨캐피탈,n/a,n/a,0.984,하락,383,377
메지온,n/a,n/a,1.267,상승,93500,118500
메카로,22.5,3.79,0.997,하락,14300,14250
메타랩스,n/a,n/a,1.026,상승,1955,2005
메타바이오메드,n/a,85.13,0.975,하락,2965,2890
멕아이씨에스,n/a,n/a,1.467,상승,3285,4820
멜파스,n/a,n/a,1.08,상승,2070,2235
명문제약,1.05,32.48,1.002,상승,5250,5260
명성티엔에스,6.73,40.14,0.798,하락,17850,14250
명진홀딩스,15.59,14.51,1.117,상승,3090,3450
모나리자,n/a,102.96,1.036,상승,3515,3640
