종목명,PBR,GP/A
디스플레이텍,nan,nan
디씨엠,0.81,0.08
디아이,0.91,0.07
디아이동일,0.41,0.13
디아이씨,0.38,0.03
디와이,0.42,0.09
디와이파워,0.98,0.13
디지캡,nan,nan
디지틀조선,1.51,0.05
디티알오토모티브,0.57,0.08
디피씨,1.35,0.12
라이온켐텍,nan,nan
락앤락,1.25,0.12
램테크놀러지,2.01,0.09
레고켐바이오,5.59,0.06
롯데관광개발,2.83,0.03
롯데정밀화학,0.96,0.08
롯데케미칼,0.67,0.05
롯데푸드,nan,nan
롯데하이마트,nan,nan
리노공업,nan,nan
마니커,1.74,0.05
만도,0.93,0.08
맥스로텍,nan,nan
머큐리,nan,nan
메가스터디교육,1.81,0.3
메디파트너생명공학,40.48,0.0
메디프론,nan,nan
메타랩스,1.33,0.14
멜파스,nan,nan
모나리자,nan,nan
모나미,0.66,0.13
모아텍,0.65,0.01
모토닉,0.84,0.03
무학,0.59,0.06
문배철강,nan,nan
미래산업,2.45,0.02
미래아이앤지,0.83,0.01
미스터블루,3.1,0.34
미원상사,1.08,0.1
미원에스씨,1.68,0.13
미원홀딩스,0.71,0.05
미원화학,nan,nan
미창석유공업,nan,nan
바다로19호,1.0,0.06
바른손,1.11,0.02
바이넥스,2.0,0.15
바이오니아,6.0,0.13
방림,0.48,0.06
백광산업,0.79,0.09
백광소재,0.78,0.06
백산,1.57,0.13
범양건영,0.83,0.07
벽산,0.62,0.07
보락,nan,nan
보해양조,1.72,0.06
부광약품,2.96,0.1
부국철강,nan,nan
부산도시가스,nan,nan
부산산업,2.4,0.09
부산주공,nan,nan
부스타,nan,nan
브레인콘텐츠,1.4,0.22
비상교육,0.55,0.14
비씨월드제약,1.59,0.07
비에이치아이,0.97,-0.01
비츠로셀,1.86,0.11
비츠로시스,nan,nan
비티원,nan,nan
빅솔론,0.72,0.08
빙그레,1.16,0.16
사람인에이치알,2.71,0.4
사조동아원,0.92,0.05
사조산업,0.6,0.03
사조씨푸드,nan,nan
삼광글라스,0.62,0.02
삼보모터스,0.51,0.05
삼부토건,0.56,0.03
삼성SDI,1.33,0.05
삼성공조,0.39,0.02
삼성물산,0.76,0.04
삼성바이오로직스,nan,nan
삼성에스디에스,2.68,0.1
삼성엔지니어링,2.76,0.09
삼성전기,1.41,0.12
삼성전자,1.28,0.12
삼성제약,1.06,0.03
삼성중공업,0.7,0.01
삼성출판사,1.89,0.2
삼아알미늄,0.51,0.05
삼양식품,2.07,0.16
삼양옵틱스,4.18,0.27
삼양통상,0.64,0.07
삼양패키징,nan,nan
삼영무역,0.81,0.03
삼영엠텍,0.59,0.04
삼영전자공업,0.48,0.03
삼영화학공업,0.89,0.05
삼원강재,nan,nan
삼익THK,nan,nan
삼익악기,0.73,0.07
삼일제약,2.75,0.16
삼정펄프,0.45,0.02
삼진제약,nan,nan
삼천리,0.28,0.06
삼호,nan,nan
삼호개발,0.73,0.05
삼화왕관,nan,nan
삼화전기,2.42,0.12
삼화전자공업,2.3,0.05
삼화콘덴서공업,3.56,0.18
삼화페인트공업,0.47,0.08
상신브레이크,0.48,0.09
상신전자,1.54,0.1
상아프론테크,1.81,0.08
새론오토모티브,0.46,0.01
샘표,0.72,0.2
샘표식품,1.02,0.3
서린바이오,1.22,0.09
서부T&D,nan,nan
서연탑메탈,0.42,0.01
서울도시가스,0.38,0.07
서울식품공업,nan,nan
서울제약,nan,nan
서원,0.57,0.05
서진시스템,1.87,0.1
서흥,1.31,0.07
서희건설,0.81,0.1
선도전기,0.8,0.03
선진,0.89,0.08
선창산업,0.25,0.03
성문전자,1.83,0.05
성보화학,nan,nan
성신양회,0.62,0.06
성안,0.42,0.03
성우테크론,0.75,0.03
성우하이텍,0.31,0.04
성창기업지주,0.28,0.01
세기상사,nan,nan
세방,0.39,0.03
세방전지,0.58,0.08
세아베스틸,0.35,0.03
세아제강지주,0.24,0.05
세아특수강,0.4,0.04
세아홀딩스,0.19,0.03
세우글로벌,1.29,0.04
세원셀론텍,1.12,0.03
세이브존I&C,0.36,0.08
세종공업,0.35,0.06
세진중공업,1.29,0.04
세진티에스,0.59,0.04
세하,nan,nan
세화아이엠씨,2.87,0.05
셀트리온헬스케어,4.66,0.02
솔본,0.79,0.11
송원산업,1.24,0.1
수산중공업,0.9,0.09
수성,3.72,0.05
스맥,0.73,0.06
스튜디오드래곤,4.57,0.05
스페코,1.36,0.08
시디즈,nan,nan
신대양제지,0.84,0.11
신도리코,0.54,0.05
신라교역,0.43,0.03
신성이엔지,1.34,0.07
신세계,0.72,0.11
신세계I&C,nan,nan
신세계인터내셔날,2.72,0.37
신세계푸드,1.04,0.11
신송홀딩스,0.52,0.04
신영와코루,0.35,0.15
신원,0.9,0.22
신원종합개발,0.47,0.05
신일산업,nan,nan
신풍제약,1.63,0.1
신풍제지,0.78,0.06
신한,0.6,0.11
신화실업,nan,nan
신흥,1.09,0.1
실리콘웍스,1.58,0.13
쌍방울,0.67,0.04
쌍용양회공업,1.7,0.05
쌍용자동차,0.91,0.08
써니전자,2.36,0.04
씨아이에스,nan,nan
씨아이테크,0.81,0.1
씨앤지하이테크,nan,nan
씨큐브,nan,nan
씨트리,3.32,0.21
아남전자,3.86,0.07
아리온,2.88,0.05
아모레퍼시픽,2.5,0.35
아모레퍼시픽그룹,1.66,0.3
아미노로직스,3.48,0.06
아세아,0.32,0.05
아세아시멘트,0.47,0.04
아세아제지,0.62,0.09
아스트,1.39,0.02
아시아나IDT,1.62,0.04
아시아나항공,0.88,0.02
아이마켓코리아,1.04,0.07
아이에스동서,1.11,0.04
아이에이치큐,1.36,0.22
아이원스,0.64,0.07
아이컴포넌트,nan,nan
아진산업,0.42,0.06
알루코,1.05,0.04
알에프텍,1.44,0.05
알엔투테크놀로지,nan,nan
알파홀딩스,1.67,0.05
애경산업,3.04,0.39
어보브반도체,1.54,0.15
에넥스,1.33,0.09
에스디생명공학,1.53,0.22
에스마크,0.32,0.0
에스맥,0.96,0.04
에스앤더블류,nan,nan
에스앤에스텍,nan,nan
에스엘,0.85,0.05
에스엠코어,2.8,0.05
에스원,2.62,0.16
에스제이엠,0.34,0.07
에스제이엠홀딩스,0.32,0.06
에스트래픽,3.06,-0.0
에스티아이,1.31,0.12
