종목명,시가총액,매출액,PSR,상승률,상승하락,년초가,현재가,결산월
원풍,40680000,683,59560.76,1.118,상승,3430,3835,2018/12
원풍물산,117671480,427,275577.24,1.306,상승,3100,4050,2018/12
월덱스,78427250,1055,74338.63,1.419,상승,4920,6980,2018/12
웨이브일렉트로,240817700,481,500660.5,1.406,상승,21700,30500,2018/12
웰바이오텍,214362200,739,290070.64,0.914,하락,5250,4800,2018/12
웰크론,73056160,3948,18504.6,1.09,상승,2900,3160,2018/12
웰크론강원,44410630,859,51700.38,0.868,하락,2720,2360,2018/12
웰크론한텍,34659770,2643,13113.8,1.321,상승,1840,2430,2018/12
웹스,27396000,284,96464.79,1.241,상승,2050,2545,2018/12
웹젠,757420950,2189,346012.31,0.757,하락,22250,16850,2018/12
위닉스,260945800,3306,78930.97,1.371,상승,14700,20150,2018/12
위메이드,514080000,1271,404468.92,0.831,하락,33350,27700,2018/12
위세아이텍,19924000,165,120751.52,1.409,상승,5600,7890,2018/12
위즈코프,42908255,396,108354.18,1.0,보합,1140,1140,2018/12
위지윅스튜디오,89739600,236,380252.54,1.804,상승,9810,17700,2018/12
위지트,79660155,448,177812.85,0.931,하락,1090,1015,2018/12
윈스,133572400,707,188928.43,1.248,상승,11100,13850,2018/12
윈팩,47088315,675,69760.47,1.22,상승,1270,1550,2018/12
윈하이텍,40586245,952,42632.61,0.958,하락,4155,3980,2018/12
윌비스,74670000,2777,26888.73,0.831,하락,1330,1105,2018/12
윙입푸드,55966465,962,58177.2,1.384,상승,1395,1930,2018/12
유나이티드,373571350,2119,176296.06,1.002,상승,23100,23150,2018/12
유니드,371602000,8140,45651.35,1.147,상승,41700,47850,2018/12
유니셈,95978320,2143,44786.9,1.419,상승,3270,4640,2018/12
유니슨,139465490,1652,84422.21,0.686,하락,1590,1090,2018/12
유니온,58545000,2089,28025.37,1.292,상승,3840,4960,2018/12
유니온머티리얼,74130000,1123,66010.69,1.666,상승,1810,3015,2018/12
유니온커뮤니티,37798425,360,104995.62,1.163,상승,2640,3070,2018/12
유니켐,90253150,836,107958.31,1.344,상승,1495,2010,2018/12
유니퀘스트,169399930,2703,62671.08,0.995,하락,6490,6460,2018/12
유니크,149158120,2131,69994.43,1.1,상승,6680,7350,2018/12
유니테스트,222963700,2823,78981.12,1.259,상승,10600,13350,2018/12
유니테크노,177727200,664,267661.45,0.806,하락,14150,11400,2018/12
유니트론텍,44694000,2346,19051.15,1.388,상승,4415,6130,2018/12
유라테크,69696000,1982,35164.48,0.963,하락,5990,5770,2018/12
유바이오로직스,146748840,249,589352.77,1.192,상승,6030,7190,2018/12
유비벨록스,35081880,1086,32303.76,1.454,상승,4985,7250,2018/12
유비케어,232798620,1004,231871.14,1.277,상승,4415,5640,2018/12
유비쿼스,200092200,953,209960.34,0.977,하락,38350,37450,2018/12
유비쿼스홀딩스,172386340,862,199984.15,4.307,상승,8150,35100,2018/12
유성기업,73432840,2466,29778.12,1.029,상승,2890,2975,2018/12
유성티엔에스,68171070,3930,17346.33,1.094,상승,2550,2790,2018/12
유수홀딩스,165887540,3843,43166.16,1.062,상승,6500,6900,2018/12
유신,49650000,1508,32924.4,1.129,상승,18150,20500,2018/12
유아이디,18426400,49,376048.98,1.116,상승,1595,1780,2018/12
유아이엘,97161100,4236,22936.99,1.112,상승,4480,4980,2018/12
유안타제3호스팩,8554700,0,0,1.057,상승,2010,2125,2018/12
유안타증권,612762790,4248,144247.36,0.96,하락,3140,3015,2018/12
유앤아이,74797380,317,235953.88,0.814,하락,9750,7940,2018/12
유양디앤유,465988480,911,511513.15,0.98,하락,7600,7450,2018/12
유에스티,126795000,496,255635.08,0.948,하락,5350,5070,2018/12
유엔젤,56738500,335,169368.66,0.829,하락,4520,3745,2018/12
유유제약,65282250,831,78558.66,1.052,상승,10500,11050,2018/12
유지인트,80246530,589,136241.99,1.232,상승,788,971,2018/12
유진기업,464274440,14510,31996.86,0.891,하락,6330,5640,2018/12
유진로봇,134668080,817,164832.41,0.929,하락,3535,3285,2018/12
유진증권,225697780,2432,92803.36,1.015,상승,2405,2440,2018/12
유진테크,244055400,2202,110833.51,1.126,상승,10750,12100,2018/12
유테크,55454960,526,105427.68,0.429,하락,3040,1305,2018/12
유티아이,93920800,480,195668.33,4.613,상승,5680,26200,2018/12
유틸렉스,644316800,4,161079200.0,0.776,하락,89200,69200,2018/12
유한양행,2670393000,15188,175822.56,1.1,상승,206000,226500,2018/12
유화증권,153090000,151,1013841.06,0.943,하락,13250,12500,2018/12
육일씨엔에쓰,29727525,934,31828.19,0.938,하락,3375,3165,2018/12
율촌화학,310000000,4898,63291.14,1.035,상승,12900,13350,2018/12
이건산업,107996580,3396,31801.11,0.8,하락,10450,8360,2018/12
이건홀딩스,63012150,3077,20478.44,0.997,하락,2895,2885,2018/12
이구산업,61700490,2272,27156.91,1.016,상승,1920,1950,2018/12
이그잭스,77859805,334,233113.19,1.204,상승,1620,1950,2018/12
이글루시큐리티,49482000,647,76479.13,0.969,하락,4545,4405,2018/12
이글벳,46901820,303,154791.49,1.596,상승,3790,6050,2018/12
이노메트리,122555000,306,400506.54,1.308,상승,26750,35000,2018/12
이노션,1238000000,12392,99903.16,1.097,상승,62600,68700,2018/12
이노와이어리스,154577250,640,241526.95,1.074,상승,25600,27500,2018/12
이노인스트루먼트,104254620,499,208927.09,0.924,하락,5150,4760,2018/12
이녹스,76117140,578,131690.55,0.787,하락,8140,6410,2018/12
이녹스첨단소재,336968000,2931,114966.91,1.381,상승,38150,52700,2018/12
이니텍,106277670,2625,40486.73,0.933,하락,5550,5180,2018/12
이더블유케이,29819240,235,126890.38,1.198,상승,4040,4840,2018/12
이라이콤,65698710,3671,17896.68,0.963,하락,5370,5170,2018/12
이랜텍,71673000,4518,15863.88,1.753,상승,3435,6020,2018/12
이루온,38457750,483,79622.67,1.021,상승,1405,1435,2018/12
이리츠코크렙,305625150,138,2214675.0,1.24,상승,4880,6050,2018/06
이마트,5017680000,170491,29430.76,0.714,하락,182000,130000,2018/12
이매진아시아,73320345,262,279848.65,1.057,상승,2100,2220,2018/12
이미지스,26764810,171,156519.36,1.156,상승,3435,3970,2018/12
이베스트투자증권,356232800,1466,242996.45,0.612,하락,8790,5380,2018/12
이상네트웍스,67973100,537,126579.33,1.104,상승,7380,8150,2018/12
이수앱지스,164276250,167,983690.12,0.983,하락,6290,6180,2018/12
이수페타시스,283098480,5603,50526.23,0.763,하락,6580,5020,2018/12
이수화학,143765980,15313,9388.49,0.957,하락,9860,9440,2018/12
이스타코,26825352,266,100847.19,0.986,하락,629,620,2018/12
이스트소프트,62066730,647,95930.03,1.3,상승,6270,8150,2018/12
이스트아시아홀딩스,26160240,930,28129.29,0.97,하락,237,230,2018/12
이씨에스,30750000,634,48501.58,1.099,상승,4100,4505,2019/03
이아이디,46742477,1213,38534.61,3.088,상승,194,599,2018/12
이에스브이,102953021,161,639459.76,0.305,하락,874,267,2018/12
이에스에이,44609880,194,229947.84,1.161,상승,1610,1870,2018/12
이엑스티,81609460,386,211423.47,1.221,상승,2965,3620,2018/12
이엔드디,3070000,281,10925.27,1.802,상승,500,901,2018/12
이엔에프테크놀로지,173581600,4254,40804.33,1.802,상승,12400,22350,2018/12
이엘케이,69980130,1960,35704.15,0.787,하락,1000,787,2018/12
이엘피,62306200,508,122650.0,0.961,하락,12750,12250,2018/12
이엠넷,46890980,316,148389.18,1.467,상승,2175,3190,2018/12
이엠코리아,269954190,1075,251120.18,0.905,하락,6450,5840,2018/12
이엠텍,249263600,2860,87155.1,0.702,하락,17300,12150,2018/12
이엠티,24108000,275,87665.45,1.208,상승,2400,2900,2018/12
이연제약,237295500,1230,192923.17,1.068,상승,14000,14950,2018/12
이오테크닉스,545890450,2941,185613.89,1.389,상승,48300,67100,2018/12
이원컴포텍,16812640,440,38210.55,1.765,상승,1170,2065,2018/12
이월드,226275000,336,673437.5,1.243,상승,2515,3125,2018/12
