종목명,시가총액,매출액,PSR,상승률,상승하락,년초가,현재가,결산월
종근당바이오,107717400,1245,86520.0,1.287,상승,20750,26700,2018/12
종근당홀딩스,301101000,5311,56693.84,1.803,상승,62400,112500,2018/12
좋은사람들,138623580,1284,107962.29,0.946,하락,5100,4825,2018/12
주성엔지니어링,300108780,2640,113677.57,1.037,상승,6500,6740,2018/12
주연테크,41484660,443,93644.83,0.931,하락,433,403,2018/12
줌인터넷,42371280,243,174367.41,1.929,상승,3920,7560,2018/12
중앙리빙테크,27300130,112,243751.16,1.075,상승,1135,1220,2018/12
중앙백신,165336000,332,498000.0,1.179,상승,16800,19800,2018/12
중앙에너비스,41845440,761,54987.44,0.961,하락,6700,6440,2018/12
중앙오션,76314805,140,545105.75,0.751,하락,3370,2530,2018/06
지노믹트리,439394950,4,109848737.5,0.608,하락,27550,16750,2018/12
지니뮤직,289122125,1712,168879.75,0.815,하락,4900,3995,2018/12
지니언스,48263950,214,225532.48,0.968,하락,5260,5090,2018/12
지란지교시큐리티,48396885,543,89128.7,1.243,상승,1295,1610,2018/12
지스마트글로벌,154032924,316,487445.96,0.328,하락,1795,589,2018/12
지어소프트,42436610,1316,32246.66,1.752,상승,3225,5650,2018/12
지에스이,45581760,1335,34143.64,1.017,상승,1515,1540,2018/12
지엔씨에너지,72517200,1261,57507.69,1.052,상승,4505,4740,2018/12
지엔코,164163400,1464,112133.47,0.742,하락,1665,1235,2018/12
지엘팜텍,132221880,80,1652773.5,0.558,하락,3640,2030,2018/12
지엠비코리아,166117120,4572,36333.58,0.708,하락,8640,6120,2018/12
지엠피,220320000,1095,201205.48,1.229,상승,8300,10200,2018/12
지역난방공사,648424000,24873,26069.39,0.959,하락,56600,54300,2018/12
지와이커머스,46253250,142,325727.11,1.0,보합,2250,2250,2018/12
지코,34000633,796,42714.36,1.244,상승,679,845,2018/12
지투알,122098790,5382,22686.51,1.037,상승,7660,7940,2018/12
지투하이소닉,16475508,201,81967.7,1.0,보합,798,798,2018/12
지트리비앤티,652711800,464,1406706.47,0.948,하락,28700,27200,2018/12
진도,60497280,1201,50372.42,0.771,하락,4875,3760,2018/12
진로발효,223462800,869,257149.37,0.982,하락,30100,29550,2018/12
진매트릭스,68144500,47,1449882.98,0.761,하락,4460,3395,2018/12
진바이오텍,35003715,628,55738.4,1.234,상승,4125,5090,2018/12
진성티이씨,167940540,3547,47347.21,1.024,상승,7590,7770,2018/12
진양산업,70850000,594,119276.09,0.696,하락,5240,3645,2018/12
진양제약,45120000,469,96204.69,1.005,상승,3785,3805,2018/12
진양폴리우레탄,23450000,301,77906.98,1.367,상승,2260,3090,2018/12
진양홀딩스,149798600,2418,61951.45,0.961,하락,2685,2580,2018/12
진양화학,82800000,497,166599.6,1.126,상승,6260,7050,2018/12
진에어,570000000,10107,56396.56,0.881,하락,19350,17050,2018/12
진원생명과학,91154070,343,265755.31,1.054,상승,4330,4565,2018/12
진흥기업,297490240,6712,44322.15,1.092,상승,2055,2245,2018/12
차바이오텍,1081046800,4886,221253.95,0.735,하락,20200,14850,2018/12
차이나그레이트,39899839,4540,8788.51,1.584,상승,327,518,2018/12
참엔지니어링,79441850,2215,35865.4,0.845,하락,1615,1365,2018/12
참좋은여행,110740000,650,170369.23,0.862,하락,7890,6800,2018/12
창해에탄올,120402100,1954,61618.27,1.007,상승,13600,13700,2018/12
천일고속,111176200,556,199957.19,0.909,하락,79900,72600,2018/12
청광종건,n/a
청담러닝,137382500,1527,89968.89,0.97,하락,18600,18050,2018/12
청보산업,18607225,218,85354.24,1.022,상승,2295,2345,2018/12
청호컴넷,23704080,360,65844.67,1.216,상승,2775,3375,2018/12
체리부로,63966240,2938,21772.04,0.949,하락,2365,2245,2018/12
체시스,20640000,667,30944.53,2.058,상승,882,1815,2018/06
초록뱀,134838940,639,211015.56,0.84,하락,1780,1495,2018/12
칩스앤미디어,49464720,141,350813.62,1.374,상승,6520,8960,2018/12
카스,26949870,1400,19249.91,1.322,상승,1275,1685,2018/12
카이노스메드,191758000,0,0,0.904,하락,14600,13200,2018/12
카카오,8505576000,24170,351906.33,1.271,상승,103500,131500,2018/12
카페24,1002515300,1654,606115.66,0.549,하락,111000,60900,2018/12
카프로,175200000,5793,30243.4,0.895,하락,4435,3970,2018/12
캐스텍코리아,54926235,2077,26444.99,0.988,하락,3350,3310,2018/12
캔서롭,131851060,75,1758014.13,1.238,상승,6250,7740,2018/12
캠시스,100309025,5445,18422.23,1.321,상승,1730,2285,2018/12
컨버즈,59203425,891,66446.04,0.675,하락,4830,3260,2018/12
컬러레이,90180000,482,187095.44,0.997,하락,1700,1695,2018/12
컴투스,1608250000,4818,333800.33,0.724,하락,129000,93400,2018/12
케어랩스,116266800,544,213725.74,0.786,하락,19150,15050,2018/12
케어젠,742341300,634,1170885.33,1.079,상승,70900,76500,2018/12
케이디켐,49227000,500,98454.0,1.012,상승,12300,12450,2018/12
케이맥,67526400,1068,63226.97,1.316,상승,9310,12250,2018/12
케이비17호스팩,n/a
케이비아이동국실업,43555904,6509,6691.64,1.03,상승,836,861,2018/12
케이비제10호스팩,16177050,0,0,1.263,상승,3104,3920,2018/12
케이비제11호스팩,6612600,0,0,1.102,상승,2060,2270,2018/12
케이사인,66934485,237,282423.99,1.412,상승,1020,1440,2018/12
케이씨,158581800,5261,30142.9,1.267,상승,11800,14950,2018/12
케이씨씨,3256834500,37822,86109.53,0.805,하락,307000,247000,2018/12
케이씨에스,49620000,333,149009.01,1.026,상승,4385,4500,2018/12
케이씨텍,187875330,3573,52581.96,1.829,상승,9570,17500,2018/12
케이씨티,35929250,308,116653.41,1.209,상승,1985,2400,2018/12
케이씨티시,87150000,4004,21765.73,1.068,상승,2880,3075,2018/12
케이씨피드,37360260,637,58650.33,1.007,상승,2245,2260,2018/12
케이아이엔엑스,116144000,563,206294.85,1.498,상승,23700,35500,2018/12
케이에스피,155263680,168,924188.57,0.445,하락,4290,1910,2018/12
케이엔더블유,21455190,1221,17571.82,1.135,상승,4010,4550,2018/12
케이엘넷,62803000,421,149175.77,1.05,상승,2590,2720,2018/12
케이엠,67951400,1183,57439.9,1.036,상승,6750,6990,2018/12
케이엠더블유,432630000,2963,146010.8,4.509,상승,11200,50500,2018/12
케이엠제약,57473430,173,332216.36,0.939,하락,2970,2790,2018/12
케이탑리츠,53214460,110,483767.82,0.778,하락,1160,902,2018/12
케이티,7937804800,234601,33835.34,0.939,하락,29700,27900,2018/12
케이티스카이라이프,554735200,6908,80303.3,0.904,하락,11450,10350,2018/12
케이티앤지,13399699200,44715,299669.0,0.975,하락,100500,98000,2018/12
케이프,46718070,2546,18349.6,1.103,상승,1850,2040,2018/12
케이피에프,64791120,3750,17277.63,1.079,상승,4175,4505,2018/12
케이피엠테크,92446640,295,313378.44,0.835,하락,1055,881,2018/12
케이피티유,22466400,251,89507.57,1.037,상승,4575,4745,2018/12
켐온,100261770,195,514162.92,1.185,상승,1620,1920,2018/12
켐트로닉스,80162400,3374,23758.86,1.597,상승,6200,9900,2018/12
켐트로스,60593400,444,136471.62,1.547,상승,2585,4000,2018/12
코나아이,165703350,899,184319.63,1.751,상승,10450,18300,2018/12
코너스톤네트웍스,38764324,89,435554.2,3.492,상승,441,1540,2018/12
코닉글로리,21157932,91,232504.75,1.315,상승,451,593,2018/12
코다코,85354840,2586,33006.51,0.998,하락,2200,2195,2018/12
코데즈컴바인,107852550,293,368097.44,0.984,하락,2865,2820,2018/12
코드네이처,56422800,196,287871.43,1.164,상승,1280,1490,2018/12
코디,42584580,203,209776.26,1.0,보합,3590,3590,2018/12
코디엠,107729443,366,294342.74,0.771,하락,751,579,2018/12
코렌,39844075,779,51147.72,1.333,상승,1335,1780,2018/12
코렌텍,61410660,368,166876.79,0.91,하락,6190,5630,2018/12
코리아나,165600000,1157,143128.78,0.871,하락,4375,3810,2018/12
코리아써키트,120939520,5358,22571.77,0.996,하락,5170,5150,2018/12
코리아에스이,32224500,143,225346.15,0.856,하락,1735,1485,2018/12
코리아에프티,81434925,3880,20988.38,0.916,하락,2810,2575,2018/12
코리아오토글라스,244000000,4387,55618.87,1.406,상승,12450,17500,2018/12
코리안리,1030358640,75585,13631.79,0.947,하락,8610,8150,2018/12
코맥스,60136930,1444,41646.07,0.954,하락,4130,3940,2018/12
코메론,70483920,687,102596.68,0.995,하락,7600,7560,2018/12
코미코,184713750,1666,110872.6,1.274,상승,21350,27200,2018/12
코미팜,1166092550,350,3331693.0,1.141,상승,18581,21200,2018/12
코세스,84260000,655,128641.22,1.476,상승,5100,7530,2018/12
코센,69901100,547,127789.95,0.896,하락,1590,1425,2018/12
코스맥스,1256250000,12597,99726.13,0.746,하락,132500,98800,2018/12
코스맥스비티아이,187278000,4383,42728.27,0.965,하락,19750,19050,2018/12
코스맥스엔비티,320765400,2017,159030.94,0.538,하락,16400,8830,2018/12
코스메카코리아,325206000,3033,107222.55,0.547,하락,32550,17800,2018/12
코스모신소재,326829400,5340,61204.01,0.798,하락,17550,14000,2018/12
코스모화학,186912000,6781,27564.08,0.923,하락,12400,11450,2018/12
코스온,185474240,1103,168154.34,0.744,하락,10150,7550,2018/12
코아스,40797240,1086,37566.52,1.004,상승,1400,1405,2018/12
코아스템,191747400,223,859853.81,0.841,하락,12300,10350,2018/12
코아시아,100826240,3784,26645.41,1.613,상승,5110,8240,2018/12
코엔텍,365500000,722,506232.69,1.426,상승,7680,10950,2018/12
코오롱,384461700,43245,8890.32,0.559,하락,30950,17300,2018/12
코오롱글로벌,178356000,33583,5310.9,1.229,상승,7150,8790,2018/12
코오롱머티리얼,143100000,3883,36852.95,0.63,하락,3050,1920,2018/12
코오롱생명과학,849052800,1327,639828.79,0.288,하락,75700,21800,2018/12
코오롱인더,1527011400,47526,32130.02,0.713,하락,57500,41000,2018/12
코오롱티슈진,2648181200,40,66204530.0,0.183,하락,43850,8010,2018/12
코오롱플라스틱,216600000,3213,67413.63,0.92,하락,5650,5200,2018/12
코웰패션,420825000,3394,123990.87,1.449,상승,4755,6890,2018/12
코위버,74849080,551,135842.25,1.108,상승,7250,8030,2018/12
코이즈,18969933,191,99319.02,0.987,하락,1773,1750,2018/12
코콤,117808320,1636,72009.98,1.066,상승,6800,7250,2018/12
코텍,217271250,3466,62686.45,0.957,하락,13850,13250,2018/12
코프라,60497340,1614,37482.86,1.412,상승,2900,4095,2018/12
콜마비앤에이치,593834400,3864,153683.85,1.182,상승,20050,23700,2018/12
콤텍시스템,68187675,1252,54463.0,1.228,상승,1470,1805,2018/12
쿠첸,58131840,2234,26021.41,1.218,상승,5460,6650,2018/12
쿠쿠홀딩스,839216000,4933,170122.85,1.088,상승,119500,130000,2018/12
쿠쿠홈시스,753883200,4188,180010.32,1.248,상승,35100,43800,2018/12
큐렉소,227494740,339,671075.93,0.936,하락,7370,6900,2018/12
큐로,63613830,902,70525.31,1.489,상승,524,780,2018/12
큐로컴,143519100,139,1032511.51,0.865,하락,1300,1125,2018/12
큐로홀딩스,36524649,252,144939.08,1.013,상승,597,605,2018/12
큐리언트,171593700,0,0,0.98,하락,20000,19600,2018/12
큐브엔터,87561330,345,253800.96,0.903,하락,3355,3030,2018/12
큐에스아이,37085440,188,197262.98,1.932,상승,4675,9030,2018/12
큐엠씨,54586320,376,145176.38,0.64,하락,5780,3700,2018/12
큐캐피탈,88618734,-71,-1248151.18,0.982,하락,621,610,2018/12
크라운제과,118101320,3885,30399.31,1.004,상승,9360,9400,2018/12
크라운해태홀딩스,161832300,10921,14818.45,0.996,하락,11400,11350,2018/12
크로바하이텍,44736000,524,85374.05,0.751,하락,1985,1490,2018/12
크루셜텍,64123800,837,76611.47,1.239,상승,952,1180,2018/12
크리스에프앤씨,292875000,2579,113561.46,0.772,하락,25250,19500,2018/12
크리스탈,713024700,139,5129674.1,0.841,하락,17650,14850,2018/12
크리스탈신소재,69817520,760,91865.16,2.467,상승,1050,2590,2018/12
크린앤사이언스,82875000,952,87053.57,1.668,상승,12950,21600,2018/12
클래시스,250680785,475,527749.02,2.939,상승,4100,12050,2018/12
클리오,235855200,1874,125856.56,1.203,상승,14550,17500,2018/12
키네마스터,18068775,128,141162.3,5.359,상승,2575,13800,2018/12
키다리스튜디오,36336735,196,185391.51,1.973,상승,2255,4450,2018/12
키움제5호스팩,7236000,0,0,1.087,상승,2005,2180,2018/12
키움증권,1648660000,6181,266730.3,0.977,하락,78900,77100,2018/12
키위미디어그룹,83846125,181,463238.26,0.373,하락,410,153,2018/12
키이스트,228697560,1037,220537.67,1.024,상승,2655,2720,2018/12
타이거일렉,25950540,337,77004.57,1.561,상승,4080,6370,2018/12
탑엔지니어링,110713680,9176,12065.57,1.344,상승,7100,9540,2018/12
태경산업,160174920,5635,28425.01,1.054,상승,5580,5880,2018/12
태경화학,54288000,474,114531.65,1.151,상승,4650,5350,2018/12
태광,306075000,1586,192985.5,0.808,하락,11750,9490,2018/12
태광산업,1484742000,31088,47759.33,0.994,하락,1321000,1313000,2018/12
태림포장,279683700,6087,45947.71,1.573,상승,3980,6260,2018/12
태양,83850000,1367,61338.7,0.889,하락,10100,8980,2018/12
태양금속공업,48260500,4492,10743.66,0.83,하락,1350,1120,2018/12
태영건설,825120000,38505,21428.91,1.202,상승,11400,13700,2018/12
태웅,197669160,2895,68279.5,0.941,하락,10500,9880,2018/12
태원물산,39216000,219,179068.49,0.905,하락,5290,4790,2018/12
태평양물산,129022520,9721,13272.56,1.111,상승,2615,2905,2018/12
테고사이언스,288277500,79,3649082.28,0.699,하락,36000,25150,2018/12
테라셈,13952034,88,158545.84,1.564,상승,991,1550,2018/12
테라젠이텍스,318424500,1175,270999.57,0.843,하락,10550,8890,2018/12
테스,233262400,2871,81247.79,1.451,상승,12300,17850,2018/12
테스나,134602500,653,206129.4,2.228,상승,19550,43550,2018/12
테이팩스,96954900,1085,89359.35,1.0,보합,21100,21100,2018/12
테크윙,165686400,1937,85537.64,1.196,상승,9200,11000,2018/12
텔레칩스,133304220,1261,105713.1,1.307,상승,8840,11550,2018/12
텔레필드,25699025,302,85096.11,1.16,상승,2650,3075,2018/12
텔코웨어,129049900,421,306531.83,1.279,상승,12900,16500,2018/12
텔콘RF제약,661109900,577,1145771.06,0.709,하락,8350,5920,2018/12
토니모리,188748000,1810,104280.66,0.927,하락,11600,10750,2018/12
토박스코리아,31954336,244,130960.39,1.356,상승,859,1165,2018/12
토비스,110499370,4302,25685.58,1.061,상승,6730,7140,2018/12
토탈소프트,22293590,116,192186.12,1.167,상승,2600,3035,2018/12
토필드,50137230,69,726626.52,1.333,상승,1740,2320,2018/12
톱텍,282225320,3088,91394.21,1.215,상승,7670,9320,2018/12
투비소프트,131386640,539,243760.0,0.665,하락,5500,3655,2018/12
툴젠,663011000,12,55250916.67,0.648,하락,100000,64800,2018/12
트루윈,46104525,336,137215.85,1.66,상승,4290,7120,2018/12
특수건설,79773400,1862,42842.86,0.929,하락,5650,5250,2018/12
티로보틱스,50858580,665,76479.07,1.222,상승,9700,11850,2018/12
티비씨,57400000,406,141379.31,1.908,상승,579,1105,2018/12
티비에이치글로벌,62362430,2088,29867.06,0.967,하락,3060,2960,2018/12
티씨케이,463497500,1705,271846.04,1.456,상승,40600,59100,2018/12
티앤알바이오팹,73196580,10,7319658.0,1.264,상승,9020,11400,2018/12
티에스이,74661750,1844,40489.02,1.206,상승,6600,7960,2018/12
티에이치엔,42750000,3728,11467.27,1.574,상승,2395,3770,2018/12
티엘아이,42503265,485,87635.6,1.114,상승,4400,4900,2018/12
티웨이항공,345736000,7318,47244.6,0.769,하락,7480,5750,2018/12
티웨이홀딩스,177276950,7375,24037.55,0.744,하락,2400,1785,2018/12
티케이케미칼,246779925,7890,31277.56,1.044,상승,2815,2940,2018/12
티플랙스,69163800,1217,56831.39,0.859,하락,2945,2530,2018/12
티피씨글로벌,25609500,784,32665.18,0.94,하락,2770,2605,2018/12
팅크웨어,81427060,1944,41886.35,0.967,하락,7800,7540,2018/12
파나진,143352150,77,1861716.23,0.734,하락,4590,3370,2018/12
파라다이스,1673351200,7876,212462.06,0.818,하락,19000,15550,2018/12
파라텍,95110400,1912,49743.93,0.902,하락,5500,4960,2018/12
파루,79806920,364,219249.78,0.904,하락,2720,2460,2018/12
파마리서치프로덕트,307645000,643,478452.57,1.169,상승,33700,39400,2018/12
파멥신,556713000,0,0,0.522,하락,80000,41800,2018/12
파미셀,767475200,284,2702377.46,0.679,하락,12500,8490,2018/12
파버나인,47398750,1124,42169.71,0.993,하락,4380,4350,2018/12
파세코,63700000,1494,42637.22,2.058,상승,4630,9530,2018/12
파수닷컴,30165360,322,93681.24,1.342,상승,3205,4300,2018/12
파워넷,40293550,1169,34468.39,1.137,상승,3460,3935,2018/12
파워로직스,213675660,7539,28342.71,1.693,상승,6380,10800,2018/12
파이오링크,29892160,274,109095.47,1.472,상승,4485,6600,2018/12
파인넥스,40225125,117,343804.49,0.449,하락,1560,701,2018/12
파인디앤씨,50956160,773,65920.0,0.941,하락,2130,2005,2018/12
파인디지털,34921620,860,40606.53,1.116,상승,3750,4185,2018/12
파인이엠텍,14858400,220,67538.18,1.098,상승,4100,4500,2018/12
파인테크닉스,51899040,1297,40014.68,1.115,상승,1390,1550,2018/12
파인텍,19559892,659,29681.17,0.773,하락,1410,1090,2018/12
파커스,43288400,1002,43202.0,0.995,하락,3195,3180,2018/12
파크시스템스,263846200,418,631211.0,0.982,하락,39600,38900,2018/12
파트론,440288280,7965,55277.88,1.73,상승,8210,14200,2018/12
파티게임즈,13125568,423,31029.71,1.0,보합,536,536,2018/12
팍스넷,81090960,179,453022.12,1.286,상승,7320,9410,2018/12
판도라티비,12392640,168,73765.71,0.783,하락,1200,940,2018/12
판타지오,40205312,136,295627.29,1.368,상승,508,695,2018/12
팜스웰바이오,129566400,112,1156842.86,0.74,하락,4580,3390,2018/12
팜스코,276561840,10157,27228.69,0.716,하락,7710,5520,2018/12
팜스토리,91880880,9216,9969.71,1.005,상승,1030,1035,2018/12
패션플랫폼,33628650,743,45260.63,1.204,상승,1370,1650,2018/12
팬스타엔터프라이즈,31448142,284,110732.89,1.476,상승,742,1095,2018/12
팬엔터테인먼트,50780385,132,384699.89,1.021,상승,3800,3880,2018/12
팬오션,2376159205,26684,89048.09,1.105,상승,4445,4910,2018/12
팬젠,102687300,57,1801531.58,0.799,하락,10650,8510,2018/12
퍼스텍,129772875,1316,98611.61,0.822,하락,2830,2325,2018/12
퍼시스,348450000,3157,110373.77,0.987,하락,30700,30300,2018/12
퍼시픽바이오,49709880,296,167938.78,0.95,하락,995,945,2018/12
펄어비스,2631311900,4048,650027.64,0.847,하락,217800,184400,2018/12
페이퍼코리아,67504080,4123,16372.56,0.871,하락,936,815,2018/12
펩트론,357119100,39,9156900.0,0.634,하락,24700,15650,2018/12
평화산업,86440644,3358,25741.7,0.675,하락,2275,1535,2018/12
평화정공,138390000,10665,12976.09,1.353,상승,6710,9080,2018/12
평화홀딩스,94770000,5560,17044.96,0.754,하락,6300,4750,2018/12
포레스팅블록체인,3907820,126,31014.44,0.833,하락,515,429,2018/12
포메탈,42649200,554,76984.12,0.829,하락,3625,3005,2018/12
포비스티앤씨,64124800,156,411056.41,0.963,하락,1470,1415,2018/12
포스링크,114025080,155,735645.68,0.615,하락,2375,1460,2018/12
포스코,20663319000,649778,31800.58,0.957,하락,244500,234000,2018/12
포스코 ICT,778419200,9271,83962.81,1.002,상승,5350,5360,2018/12
포스코강판,123000000,9403,13080.93,0.85,하락,20700,17600,2018/12
포스코엠텍,262350900,3010,87159.77,0.826,하락,6660,5500,2018/12
포스코인터내셔널,2171400000,251739,8625.6,0.981,하락,18100,17750,2018/12
포스코케미칼,3550107000,13836,256584.78,0.806,하락,64500,52000,2018/12
포시에스,39519128,181,218337.72,1.282,상승,5048,6470,2018/06
포티스,111084885,252,440813.04,0.363,하락,2350,854,2018/12
폴루스바이오팜,205703600,102,2016701.96,0.252,하락,6400,1610,2018/12
푸드나무,136460300,530,257472.26,0.917,하락,20550,18850,2018/12
푸드웰,47050000,1238,38004.85,1.473,상승,4873,7180,2018/12
푸른기술,126549500,249,508230.92,0.61,하락,20650,12600,2018/12
푸른저축은행,115083290,593,194069.63,1.071,상승,7800,8350,2018/12
풀무원,297109800,22720,13077.02,1.531,상승,7970,12200,2018/12
풍강,n/a
풍국주정,272160000,1205,225858.92,1.13,상승,19550,22100,2018/12
풍산,744037200,27745,26816.98,0.89,하락,27300,24300,2018/12
풍산홀딩스,282060000,3061,92146.36,1.03,상승,36750,37850,2018/12
퓨전데이타,36673310,174,210766.15,0.284,하락,1510,429,2018/12
퓨쳐스트림네트웍스,115074330,1254,91765.81,1.031,상승,1285,1325,2018/12
퓨쳐켐,71000150,56,1267859.82,1.173,상승,12450,14600,2018/12
프럼파스트,32258265,327,98649.13,0.953,하락,3385,3225,2018/12
프로스테믹스,238218750,47,5068484.04,0.856,하락,5480,4690,2018/12
프로텍,121736035,1540,79049.37,1.578,상승,12259,19350,2018/12
프리엠스,37500000,273,137362.64,0.963,하락,6290,6060,2018/12
플랜티넷,39244800,232,169158.62,1.285,상승,4435,5700,2018/12
플레이위드,25417200,118,215400.0,5.713,상승,6940,39650,2018/12
피델릭스,36985725,754,49052.69,0.934,하락,1755,1640,2018/12
피씨디렉트,35665425,2401,14854.4,1.436,상승,4540,6520,2018/12
피씨엘,85207730,1,85207730.0,0.82,하락,9920,8130,2018/12
피앤씨테크,52690670,228,231099.43,0.834,하락,8410,7010,2018/12
피앤이솔루션,161364000,1028,156968.87,1.089,상승,11850,12900,2018/12
피앤텔,20567720,171,120279.06,1.0,보합,6680,6680,2018/12
피에스엠씨,33226908,438,75860.52,1.005,상승,858,862,2019/03
피에스케이홀딩스,211107156,3287,64224.87,0.824,하락,10552,8690,2018/12
피에스텍,90870780,617,147278.41,0.853,하락,4735,4040,2018/12
피엔에이치테크,n/a
피엔티,93151464,2567,36288.07,0.999,하락,5474,5470,2018/12
피제이메탈,50598120,1501,33709.61,1.079,상승,2150,2320,2018/12
피제이전자,66375000,1012,65587.94,1.035,상승,4475,4630,2018/12
픽셀플러스,51043750,378,135036.38,0.974,하락,6040,5880,2018/12
필룩스,645924000,1100,587203.64,0.442,하락,12350,5460,2018/12
필링크,110932200,529,209701.7,0.765,하락,1870,1430,2018/12
필옵틱스,122458480,555,220645.91,1.201,상승,7350,8830,2018/12
하나금융10호스팩,9480120,0,0,1.069,상승,2030,2170,2018/12
하나금융11호스팩,10991035,0,0,1.047,상승,2015,2110,2018/12
하나금융9호스팩,8754300,0,0,1.072,상승,2025,2170,2018/12
하나금융지주,10853748300,103409,104959.42,0.973,하락,36450,35450,2018/12
하나마이크론,85112615,4799,17735.49,1.042,상승,3840,4000,2018/12
하나머스트제6호스팩,9317700,0,0,1.081,상승,2030,2195,2018/12
하나머티리얼즈,218101600,1756,124203.64,1.24,상승,12100,15000,2018/12
하나제약,359640000,1528,235366.49,1.05,상승,22850,24000,2018/12
하나투어,803827200,8283,97045.42,0.63,하락,68900,43400,2018/12
하림,243448800,8286,29380.74,1.034,상승,2795,2890,2018/12
하림지주,1043461600,73571,14183.06,0.913,하락,11550,10550,2018/12
하이골드12호,36004200,81,444496.3,0.996,하락,2780,2770,2018/12
하이로닉,62793225,203,309326.23,1.288,상승,4465,5750,2018/12
하이록코리아,219849950,1243,176870.43,1.072,상승,16700,17900,2018/12
하이비젼시스템,131937860,1831,72057.82,1.001,상승,9030,9040,2018/12
하이셈,69250530,471,147028.73,1.342,상승,3980,5340,2018/12
하이스틸,52000000,1705,30498.53,0.784,하락,27050,21200,2018/12
하이즈항공,93788800,517,181409.67,1.034,상승,5300,5480,2018/12
하이텍팜,118386300,664,178292.62,0.743,하락,17500,13000,2018/12
하이트론씨스템즈,19966910,408,48938.5,1.026,상승,3655,3750,2018/12
하이트진로,1143184200,18856,60627.08,1.326,상승,16550,21950,2018/12
하이트진로홀딩스,163145210,18767,8693.2,1.394,상승,7010,9770,2018/12
하츠,47872000,1035,46253.14,1.639,상승,3765,6170,2018/12
한국가구,61050000,602,101411.96,1.086,상승,4090,4440,2018/12
한국가스공사,4278707550,261850,16340.3,0.899,하락,48250,43400,2018/12
한국경제TV,90390000,845,106970.41,1.369,상승,3880,5310,2018/12
한국공항,133763500,5261,25425.49,1.057,상승,42700,45150,2018/12
한국금융지주,3170809400,14501,218661.43,1.285,상승,59600,76600,2018/12
한국기업평가,237040200,842,281520.43,1.244,상승,51700,64300,2018/12
한국내화,118664160,2397,49505.28,0.909,하락,5630,5120,2018/12
한국단자공업,421286750,7464,56442.49,1.539,상승,40550,62400,2018/12
한국맥널티,55720000,332,167831.33,0.882,하락,11150,9830,2018/12
한국석유공업,84167500,4813,17487.53,0.809,하락,136000,110000,2018/12
한국선재,67190280,1927,34867.82,0.935,하락,2760,2580,2018/12
한국수출포장공업,77600000,2802,27694.5,1.038,상승,19500,20250,2018/12
한국쉘석유,438100000,2198,199317.56,0.951,하락,336500,320000,2018/12
한국아트라스비엑스,474885000,6524,72790.47,1.179,상승,51300,60500,2018/12
한국알콜,153834720,2560,60091.69,1.196,상승,7200,8610,2018/12
한국유니온제약,77342400,547,141393.78,1.053,상승,13300,14000,2018/12
한국자산신탁,488653490,2266,215645.85,0.905,하락,4400,3980,2018/12
한국전력공사,21858874200,606276,36054.33,0.769,하락,33150,25500,2018/12
한국전자금융,320129040,2944,108739.48,0.893,하락,9180,8200,2018/12
한국전자인증,86050590,266,323498.46,0.973,하락,4095,3985,2018/12
한국전자홀딩스,38284854,2342,16347.08,0.969,하락,815,790,2018/12
한국정밀기계,20253640,429,47211.28,1.0,보합,2410,2410,2018/12
한국정보공학,25817960,1761,14660.97,1.046,상승,3240,3390,2018/12
한국정보인증,121699325,389,312851.74,0.954,하락,3805,3630,2018/12
한국정보통신,354362690,4435,79901.4,0.875,하락,9440,8260,2018/12
한국제5호스팩,8260000,0,0,1.076,상승,2035,2190,2018/12
한국제6호스팩,9268050,0,0,1.044,상승,2055,2145,2018/12
한국제7호스팩,10322400,0,0,1.034,상승,2040,2110,2018/12
한국제8호스팩,6874200,0,0,1.075,상승,2010,2160,2018/12
한국제지,82582500,7234,11415.88,1.119,상승,16350,18300,2018/12
한국종합기술,57706500,1909,30228.65,0.75,하락,5640,4230,2018/12
한국주강,18037855,391,46132.62,1.128,상승,1605,1810,2018/12
한국주철관공업,222309750,4174,53260.6,1.275,상승,10000,12750,2019/03
한국철강,249130500,7775,32042.51,1.04,상승,5530,5750,2018/12
한국카본,299814020,2267,132251.44,1.087,상승,7100,7720,2018/12
한국캐피탈,102944520,449,229275.1,1.139,상승,612,697,2018/12
한국컴퓨터,38490045,1142,33704.07,0.926,하락,2440,2260,2018/12
한국코퍼레이션,112673330,1284,87751.81,0.672,하락,3050,2050,2018/12
한국콜마,1564290000,13579,115199.2,0.78,하락,71400,55700,2018/12
한국콜마홀딩스,529200500,5617,94214.08,0.845,하락,29600,25000,2018/12
한국큐빅,38261340,1643,23287.49,1.107,상승,2330,2580,2018/12
한국타이어앤테크놀로지,5047906250,67951,74287.45,0.784,하락,40000,31350,2018/12
한국테크놀로지,43469371,116,374735.96,1.781,상승,643,1145,2018/12
한국테크놀로지그룹,1567387000,8480,184833.37,0.946,하락,16600,15700,2018/12
한국토지신탁,647634285,2693,240488.04,0.822,하락,2700,2220,2018/12
한국특수형강,77485435,3650,21228.89,0.634,하락,2500,1585,2018/12
한국팩키지,46375000,569,81502.64,1.179,상승,1875,2210,2018/12
한국프랜지공업,42173250,7937,5313.5,1.253,상승,1385,1735,2018/12
한국항공우주,3167937500,27860,113709.17,1.095,상승,31950,35000,2018/12
한국화장품,167107200,1539,108581.68,0.819,하락,10800,8840,2018/12
