경방,1.29,1.16
경보제약,1.99,1.95
경인양행,0.86,0.86
경인전자,1.27,1.15
경창산업,0.58,0.72
계룡건설산업,0,2.3
계양전기,1.22,1.79
고려개발,0,0
고려산업,1.3,1.38
고려시멘트,3.2,1.35
고려신용정보,6.59,5.8
고려아연,2.03,2.54
고려제강,0.96,1.51
고려제약,1.28,1.39
고영,0.85,0.79
골드퍼시픽,0,0
골든브릿지이안5호,0,0
골든센츄리,0,0
골프존,5.35,5.53
골프존뉴딘홀딩스,2.2,3.18
골프존데카,0,0
관악산업,0,0
광동제약,0.91,1.17
광림,0,0
광명전기,0,0
광전자,1.8,2.47
광주신세계,0.54,1.67
광진실업,0,0.7
광진윈텍,1.2,2.18
교보7호스팩,0,0
교보8호스팩,0,0
교보증권,3.31,3.84
구영테크,2.35,1.95
국도화학,2.38,3.29
국동,0,0
국보,0,0
국보디자인,1.53,2.09
국순당,2.99,6.4
국영지앤엠,1.33,0
국일신동,2.52,1.13
국일제지,0,0
국제약품,0.18,0.69
굿센,0,0
그린케미칼,9.48,4.44
그린플러스,0,0
극동유화,4.71,4.86
글로벌에스엠,0,0
글로벌텍스프리,0,0
글로본,0,0
금강공업,1.74,2.43
금강철강,2.72,2.62
금비,0,0
금양,0,3.43
금호산업,5.26,4.24
금호석유화학,1.01,1.55
금호에이치티,1.52,0
금호전기,0.0,0
금호타이어,0,0
금화피에스시,2.1,4.38
기가레인,0.0,0
기산텔레콤,0,0
기신정기,0,0
기아자동차,2.39,2.67
기업은행,3.75,4.91
까뮤이앤씨,1.98,1.5
깨끗한나라,0,0
나노,0,1.04
나노메딕스,0,0
나노스,0,0
나노신소재,0.76,0.92
나노엔텍,0,0
나노캠텍,0,0
나눔테크,0,0
나라소프트,0,0
나라엠앤디,1.77,1.35
나무가,0,0
나무기술,0,0
나스미디어,0.93,1.87
나우아이비캐피탈,0,3.6
나이벡,0,0
나이스디앤비,1.2,2.11
나이스정보통신,1.53,2.14
남광토건,0,0
남선알미늄,0,0
남성,1.16,1.31
남양유업,0.14,0.16
남영비비안,2.57,3.25
남해화학,0.75,0.43
남화산업,0,0.43
남화토건,1.75,0.64
내츄럴엔도텍,0,0
네오디안테크놀로지,0,0
네오셈,0,0
네오오토,1.44,1.42
네오위즈,0,0
네오위즈홀딩스,0,0
네오티스,7.07,5.88
네오팜,1.06,1.44
네오펙트,0,0
네이블커뮤니케이션즈,0,0
네이처셀,0,0
네추럴FNP,0,0
네패스,1.06,1.02
네패스신소재,0,0
넥센,0.99,1.36
넥센타이어,0.85,1.09
넥스턴,1.49,0.9
넥스트BT,0,0
넥스트사이언스,0,0
넥스트아이,0.18,0.31
넥슨지티,0,0
넵튠,0,0
넷게임즈,0,0
넷마블,0.19,0
노랑풍선,0,0
노루페인트,2.88,3.04
노루홀딩스,2.8,3.67
노바렉스,0,1.26
노바텍,0,0
노브메타파마,0,0
녹십자,0.55,0.74
녹십자랩셀,0.1,0.08
녹십자셀,0.1,0.2
녹십자엠에스,0,0
녹십자홀딩스,0.76,1.0
녹원씨엔아이,0,1.19
농심,1.13,1.57
농심홀딩스,1.75,2.86
농우바이오,1.21,3.15
누리텔레콤,0,0.89
누리플랜,0,0
뉴로스,0,0
뉴보텍,0,0
뉴인텍,0,0
뉴지랩,0,0
뉴트리,0,0.82
뉴파워프라즈마,1.07,0
뉴프라이드,0,0
뉴프렉스,0,2.09
다나와,1.69,2.09
다날,0.0,0.0
다믈멀티미디어,0,0
다산네트웍스,0,0
다스코,3.81,2.44
다우기술,1.56,1.86
다우데이타,1.26,1.69
다원넥스뷰,0,0
다원시스,0.3,0.31
다이노나,0,0
다이오진,0,0
대교,2.93,3.13
대구백화점,1.66,1.7
대덕전자,3.04,3.3
대동고려삼,0,0
대동공업,0.63,0.97
대동금속,0.75,0.61
대동기어,1.15,0.9
대동스틸,1.59,0.5
대동전자,0,0
대륙제관,1.51,1.62
대림비앤코,2.35,3.29
대림산업,1.21,1.66
대림씨엔에스,0.55,0
대림제지,0,0
대림통상,2.73,3.59
대명코퍼레이션,0,0
대보마그네틱,0,0
대봉엘에스,0.51,0.79
대상,1.81,2.2
대상홀딩스,1.81,2.42
대성미생물,0.8,0.48
대성산업,0,0
대성에너지,4.15,4.63
대성엘텍,0,0
대성창투,0,0
대성파인텍,0,0
대성홀딩스,3.15,3.93
대신밸런스제4호스팩,0,0
대신밸런스제5호스팩,0,0
대신밸런스제6호스팩,0,0
대신정보통신,0,0
대신증권,4.24,5.46
대아티아이,1.13,0.24
대양금속,0,0
대양전기공업,0,0
대양제지,1.57,1.6
대영포장,0,0
대우건설,0,0
대우부품,0,0
대우조선해양,0,0
대웅,0.52,0.56
대웅제약,0.36,0.32
대원,1.87,2.17
대원강업,3.07,2.97
대원모방,0,0
대원미디어,0,1.0
대원산업,1.6,2.33
대원전선,0,0
대원제약,1.22,1.61
대원화성,0,0
대유,0,1.22
대유에이텍,1.9,0
대유에이피,0,3.49
대유위니아,1.77,0
대유플러스,0,0
대정화금,2.2,2.33
대주산업,1.34,2.07
대주이엔티,0,0
대주전자재료,0,0.0
대창,2.37,3.24
대창단조,1.7,2.34
대창솔루션,0,0
대창스틸,2.49,3.63
대한과학,0.95,1.29
대한광통신,0,0
대한뉴팜,0,0
대한방직,0,2.05
대한약품,0.73,0.78
대한유화,1.52,2.61
대한전선,0,0
대한제강,3.17,2.68
대한제당,2.24,2.89
대한제분,1.2,1.42
대한항공,0.74,0.76
대한해운,0,0
대한화섬,0.72,0.71
대현,1.84,3.47
대호에이엘,0,0
대호피앤씨,0,0
대화제약,0.61,0.76
더블유게임즈,0.68,0.59
더블유에프엠,0,0
더존비즈온,1.2,0.87
더콘텐츠온,0,0
덕산네오룩스,0,0
덕산하이메탈,0,0
덕성,0.54,0.57
덕신하우징,0,1.98
덕양산업,0,1.6
덕우전자,0,2.48
데브시스터즈,0,0
데이타솔루션,0,0
데이터스트림즈,0,0
데일리블록체인,0,0
데코앤이,0,0
덱스터,0,0
덴티움,0.24,0.26
도이치모터스,0,0
도화엔지니어링,3.84,2.54
동구바이오제약,0,0
동국S&C,1.75,2.73
동국산업,3.81,5.32
동국알앤에스,3.38,3.44
동국제강,0.91,0
동국제약,0.82,0.9
동남합성,0.34,5.59
동방,0.7,0.73
동방선기,0,0
동방아그로,3.57,3.79
동부건설,0,4.15
동부스팩5호,0,0
동부제철,0,0
동북아12호선박투자,6.02,6.06
동북아13호선박투자,6.02,6.02
동서,2.41,3.91
동성제약,0,0
동성코퍼레이션,3.57,3.9
동성화인텍,0,0
동성화학,1.82,3.64
동신건설,1.33,2.6
동아쏘시오홀딩스,0.78,0.92
동아에스티,0.5,0.96
동아엘텍,1.54,1.79
동아지질,1.71,1.17
동아타이어,0,2.36
동아화성,1.06,1.24
동양,2.52,2.42
동양고속,2.26,3.47
동양네트웍스,0,0
동양물산기업,0.92,0.55
동양생명,4.74,2.1
동양에스텍,4.83,3.36
동양이엔피,2.44,3.24
동양철관,0,0
동양파일,3.02,0
동양피스톤,2.44,2.46
동양피엔에프,0,3.05
동우팜투테이블,1.23,1.34
동운아나텍,0.11,0.32
동원F&B,1.07,1.04
동원개발,3.21,4.63
동원금속,0,0
동원산업,1.19,1.48
동원수산,0,0
동원시스템즈,1.06,1.83
동일고무벨트,0.93,1.38
동일금속,1.9,2.19
동일기연,0.25,0.3
동일산업,2.52,2.58
동일제강,0.31,0
동일철강,0,0
동진쎄미켐,0.41,1.23
동화기업,1.1,0.87
동화약품,1.54,1.32
두산,4.51,4.66
두산건설,0,0
두산밥캣,2.23,2.86
두산인프라코어,0,0
두산중공업,0.0,0.0
두올,1.66,2.8
두올산업,0,0
두원석재,0,0
듀오백,0,0
듀켐바이오,0,0
드래곤플라이,0,0
드림시큐리티,0,0
드림어스컴퍼니,0,0
드림텍,0,0
드림티엔터테인먼트,0,0
디딤,0,0
디바이스이엔지,1.39,2.31
디스플레이텍,2.63,2.57
디씨엠,3.72,2.29
디아이,1.95,1.43
디아이동일,0.91,2.47
디아이씨,0.62,0.76
디아이티,0,1.9
디알젬,0,0.73
디알텍,0,0
디앤씨미디어,0,0
디에스케이,0.25,0
디에스티,0,0
디에이치피코리아,1.26,1.15
디에이테크놀로지,0.42,0
디에이피,0,0
디엔에이링크,0,0
디엔에프,2.07,2.64
디엠티,0,0
디오,0,0
디오스텍,0,0
디와이,1.87,2.74
디와이파워,0.95,1.41
디이엔티,0,0
디자인,0,0
디젠스,0,0
디지아이,1.56,0
디지캡,0,0
디지탈옵틱,0,0
디지털대성,5.08,4.48
디지틀조선,1.94,2.08
디케이디앤아이,0,0
디케이락,2.08,1.6
디케이앤디,0,0
디케이티,0,0
디티알오토모티브,2.19,3.13
디티앤씨,0,0
디피씨,1.82,1.23
디피코,0,0
딜리,2.01,1.8
라온시큐어,0,0
라온테크,0,0
라이브플렉스,0,0
라이온켐텍,2.06,2.07
라이트론,0,0
라이프사이언스테크놀로지,0,0
락앤락,0.48,0.39
래몽래인,0,0
램테크놀러지,0,0
랩지노믹스,0,0
러셀,0,1.29
럭스피아,0,0
럭슬,0,0
레고켐바이오,0,0
레드로버,0,0
레드캡투어,3.87,5.28
레이언스,0.54,0.61
로고스바이오,0,0
로보로보,0.74,1.51
로보스타,0.27,0.21
로보쓰리,0,0
로보티즈,0,0
로스웰,0,0
로지시스,2.2,3.55
로체시스템즈,0.39,0
롯데관광개발,0,0
롯데손해보험,0.69,0
롯데쇼핑,2.61,2.46
롯데정밀화학,1.23,4.14
롯데정보통신,0,1.84
롯데제과,0.19,0.86
롯데지주,0,1.52
롯데칠성음료,2.48,1.92
롯데케미칼,2.85,3.79
롯데푸드,3.98,2.12
롯데하이마트,2.69,3.64
루멘스,0,0
루미마이크로,0,0
루켄테크놀러지스,0,0
루트로닉,0.13,0.0
룽투코리아,0,0
리노공업,1.74,2.34
리노스,0.0,0.0
리더스코스메틱,0,0
리드,0,0
리드코프,3.34,2.84
리메드,0,0
리켐,0,0
린드먼아시아,0,1.47
링네트,0,0
링크제니시스,0,0
마니커,0,0
마이크로컨텍솔,0,0
마이크로텍,0,0
마이크로프랜드,0,0
마제스타,0,0
마크로젠,0,0
만도,0.32,1.73
만호제강,0,0
매일유업,0.68,0.89
매일홀딩스,0.65,1.15
매직마이크로,0,0
매커스,2.9,2.92
맥스로텍,0,0
맥쿼리인프라,0,0
맵스리얼티1,0,0
머큐리,0,0
멀티캠퍼스,1.52,1.13
메가스터디,2.21,4.06
메가스터디교육,2.28,3.28
메가엠디,1.89,2.11
메디쎄이,0,0
메디아나,0.51,0
메디안디노스틱,0,0
메디젠휴먼케어,0,0
메디톡스,0.45,0.15
메디파트너생명공학,0,0
메디포스트,0,0
메디프론,0,0
메리츠금융지주,3.46,4.07
메리츠종금증권,4.37,4.67
메리츠화재,4.85,3.75
메이슨캐피탈,0,0
메지온,0,0
메카로,1.44,4.08
메타랩스,0,0
메타바이오메드,0.29,0.34
멕아이씨에스,0,0
멜파스,0,0
명문제약,1.67,0
명성티엔에스,0,0
명진홀딩스,0,0
모나리자,2.02,1.43
