순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
473,078600,대주전자재료,20400,-300,-1.4,163100,3316064750,20350,20700,20150,296844990000,0.02,14551225,,,
474,237880,클리오,17450,-200,-1.1,99011,1750491300,18200,18200,17400,296089767750,0.02,16967895,,,
475,032190,다우데이타,7700,-220,-2.8,41651,320880270,7820,7900,7610,294910000000,0.02,38300000,,,
476,101060,SBS미디어홀딩스,2095,-20,-1.0,102387,206698575,2135,2135,1955,293082518050,0.02,139896190,,,
477,016450,한세예스24홀딩스,7310,-320,-4.2,52461,384435090,7700,7700,7250,292400000000,0.02,40000000,,,
478,049950,미래컴퍼니,35900,-1500,-4.0,32035,1165327600,37000,37400,35900,292377928800,0.02,8144232,,,
479,144510,녹십자랩셀,27700,-400,-1.4,22359,613797500,27700,27950,27250,292347295800,0.02,10554054,,,
480,005390,신성통상,2030,-75,-3.6,12526722,25684204295,2115,2180,1975,291728031700,0.02,143708390,,,
481,084110,휴온스글로벌,26600,-750,-2.7,37792,1005344900,27300,27300,26500,290508229200,0.02,10921362,,,
482,034120,SBS,15900,-400,-2.4,67768,1080150450,16250,16350,15750,290216053800,0.02,18252582,,,
483,017960,한국카본,6590,-370,-5.3,412661,2758420230,6930,6930,6570,289701388630,0.02,43960757,,,
484,053950,경남제약,17200,0,0.0,0,0,0,0,0,289471717200,0.02,16829751,,,
485,019170,신풍제약,5430,-90,-1.6,140043,751892060,5450,5450,5260,287708495700,0.02,52984990,,,
486,001510,SK증권,608,-11,-1.8,1110010,671631246,611,615,598,287334823968,0.02,472590171,,,
487,034950,한국기업평가,63100,-500,-0.8,2239,141249300,63500,63700,61900,286506433400,0.02,4540514,,,
488,298690,에어부산,5490,-90,-1.6,400703,2177340050,5450,5500,5380,285864300000,0.02,52070000,,,
489,009680,모토닉,8660,-400,-4.4,78913,684445860,9000,9000,8520,285780000000,0.02,33000000,,,
490,00088K,한화3우B,12700,0,0.0,89037,1122357850,12700,12700,12550,285394400000,0.02,22472000,,,
491,030530,원익홀딩스,3695,-20,-0.5,101456,372625630,3695,3735,3625,285394339795,0.02,77237981,,,
492,080160,모두투어,15100,-200,-1.3,91273,1382434400,15300,15350,14900,285390000000,0.02,18900000,,,
493,002390,한독,20700,-700,-3.3,51289,1061305200,21300,21300,20500,284905133100,0.02,13763533,,,
494,002810,삼영무역,16100,-200,-1.2,27248,444714800,16200,16350,16000,283467644600,0.02,17606686,,,
495,255440,야스,21700,-900,-4.0,129544,2820828200,22250,22250,21450,283358600000,0.02,13058000,,,
496,065660,안트로젠,32750,-600,-1.8,41565,1356437500,32700,33500,32250,283296571750,0.02,8650277,,,
497,001500,현대차증권,9630,-110,-1.1,40600,391300250,9700,9760,9600,282516378930,0.02,29337111,,,
498,060570,드림어스컴퍼니,5040,-230,-4.4,160277,807413985,5210,5240,4945,281340052560,0.02,55821439,,,
499,016590,신대양제지,69800,-3800,-5.2,33124,2325258500,71800,71800,67000,281278783600,0.02,4029782,,,
500,078520,에이블씨엔씨,10350,0,0.0,78321,822168250,10200,10650,10200,279796300650,0.02,27033459,,,
501,016580,환인제약,15000,-100,-0.7,8088,121248200,14900,15150,14850,279001050000,0.02,18600070,,,
502,002780,진흥기업,1915,-50,-2.5,69290,132604010,1950,1960,1900,278578391675,0.02,145471745,,,
503,028100,동아지질,24200,1850,8.3,423557,10164385350,21950,25000,21450,278300000000,0.02,11500000,,,
504,035810,이지바이오,4800,-165,-3.3,483045,2344749420,4890,4920,4800,278051284800,0.02,57927351,,,
505,003300,한일홀딩스,46350,200,0.4,2128,98604850,46150,47150,46150,277838400600,0.02,5994356,,,
506,078020,이베스트투자증권,5000,-40,-0.8,104007,519812425,5000,5040,4970,277405950000,0.02,55481190,,,
507,095720,웅진씽크빅,2065,-55,-2.6,529272,1097217945,2105,2125,2050,277067757120,0.02,134173248,,,
508,060150,인선이엔티,7190,-70,-1.0,270752,1936214400,7170,7260,7040,276033317580,0.02,38391282,,,
509,003220,대원제약,14000,-350,-2.4,94018,1316791650,14250,14350,13850,275277478000,0.02,19662677,,,
510,052020,에스티큐브,10200,-450,-4.2,186820,1902913800,10350,10650,9960,274981647000,0.02,26958985,,,
511,095270,웨이브일렉트로,25100,300,1.2,163632,4166905500,24100,26350,24050,274544628300,0.02,10938033,,,
512,108230,톱텍,7450,-400,-5.1,431999,3224747660,7640,7700,7300,274132092300,0.02,36796254,,,
513,080420,모다이노칩,3435,-205,-5.6,98047,339904525,3565,3565,3430,273843771570,0.02,79721622,,,
514,015750,성우하이텍,3415,-170,-4.7,418010,1436887115,3580,3580,3400,273200000000,0.02,80000000,,,
515,230240,에치에프알,22800,1500,7.0,690446,15346377850,21300,22800,21100,273190056000,0.02,11982020,,,
516,032620,유비케어,5210,-50,-1.0,78737,410209460,5230,5290,5170,271947094190,0.02,52197139,,,
517,033920,무학,9540,-760,-7.4,344601,3366401340,10200,10250,9520,271890000000,0.02,28500000,,,
518,005810,풍산홀딩스,34600,-300,-0.9,661,22727600,34900,34900,34250,271096778200,0.02,7835167,,,
519,115960,연우,21700,0,0.0,77221,1652022400,21500,21850,20850,269036600000,0.02,12398000,,,
520,119860,다나와,20550,-150,-0.7,105865,2151354950,20200,21050,19500,268687592100,0.02,13074822,,,
521,000050,경방,9780,-180,-1.8,12469,121877800,9960,9960,9760,268121340600,0.02,27415270,,,
522,089600,나스미디어,30550,-1300,-4.1,58140,1781547700,31350,31400,30400,267455810050,0.02,8754691,,,
523,018290,지엠피,9820,90,0.9,173907,1688821490,9610,9850,9580,267102703760,0.02,27199868,,,
524,025000,KPX케미칼,55100,-500,-0.9,3075,170826800,54800,56800,54400,266684000000,0.02,4840000,,,
525,084370,유진테크,11550,0,0.0,164326,1892358100,11600,11750,11050,264680285100,0.02,22916042,,,
526,041140,넥슨지티,7410,-290,-3.8,249257,1864465890,7510,7630,7410,262116316020,0.02,35373322,,,
527,049070,인탑스,15200,400,2.7,95153,1438848250,14950,15500,14400,261440000000,0.02,17200000,,,
528,036530,S&T홀딩스,16000,450,2.9,23502,372195300,15350,16000,15300,260862176000,0.02,16303886,,,
529,243840,신흥에스이씨,39800,2550,6.8,171718,6794887350,37200,40950,37150,260756983400,0.02,6551683,,,
530,268600,셀리버리,33300,50,0.2,441606,14976191600,32050,36000,32000,260409563100,0.02,7820107,,,
531,237690,에스티팜,13950,-150,-1.1,30029,418545300,14000,14150,13700,260251200000,0.02,18656000,,,
532,079430,현대리바트,12650,-650,-4.9,112488,1440430400,13150,13250,12600,259771317300,0.02,20535282,,,
533,052400,코나아이,16650,-250,-1.5,139872,2311337400,16800,18000,16050,259059314700,0.02,15559118,,,
534,228760,지노믹트리,12950,50,0.4,231479,2915961850,12700,13200,12000,258821484250,0.02,19986215,,,
535,074600,원익QnC,9840,-660,-6.3,848335,8197015150,10150,10350,9270,258673920000,0.02,26288000,,,
536,000970,한국주철관,11300,50,0.4,73868,821419050,11100,11350,10850,257645650000,0.02,22800500,,,
537,009580,무림P&P,4130,-105,-2.5,115928,477067595,4185,4185,4065,257581178120,0.02,62368324,,,
538,007690,국도화학,44200,-1050,-2.3,9048,401029900,44550,45000,44050,256829227200,0.02,5810616,,,
539,119610,인터로조,22500,-250,-1.1,37886,839861750,22650,22650,21750,255251700000,0.02,11344520,,,
540,104480,티케이케미칼,2790,-75,-2.6,2853096,8290342935,2940,2990,2790,253598260860,0.02,90895434,,,
541,014620,성광벤드,8840,-130,-1.4,25826,228597240,8960,8960,8800,252824000000,0.02,28600000,,,
542,100120,뷰웍스,25200,-650,-2.5,33118,831994500,25250,25400,24900,252046998000,0.02,10001865,,,
543,037710,광주신세계,157500,-3000,-1.9,917,144413000,158500,160000,156000,252000000000,0.02,1600000,,,
544,000020,동화약품,9020,-380,-4.0,108224,972182410,9250,9250,8800,251941859400,0.02,27931470,,,
545,002620,제일파마홀딩스,15750,-450,-2.8,7614,120147700,16200,16200,15500,251580341250,0.02,15973355,,,
546,003560,IHQ,1715,-35,-2.0,413410,709258330,1725,1750,1680,250794307820,0.02,146235748,,,
547,140860,파크시스템스,37400,-300,-0.8,2654,98662150,37250,37700,36950,249273057000,0.02,6665055,,,
548,214870,뉴지랩,10000,-100,-1.0,609230,6031493450,10100,10150,9510,247806510000,0.02,24780651,,,
549,174900,앱클론,34500,-250,-0.7,25281,875198000,33900,35300,33600,247572000000,0.02,7176000,,,
550,010170,대한광통신,3355,-65,-1.9,554718,1867600525,3385,3420,3325,247403151875,0.02,73741625,,,
551,009520,포스코엠텍,5930,50,0.8,8250359,51989171980,6400,6760,5920,246941228790,0.02,41642703,,,
552,950110,SBI핀테크솔루션즈,9980,50,0.5,48388,477916680,9900,9990,9700,246072269200,0.02,24656540,,,
553,217730,강스템바이오텍,11800,-100,-0.8,112414,1310570750,11550,11900,11450,245964356600,0.02,20844437,,,
554,004710,한솔테크닉스,7650,140,1.9,915452,7016579510,7420,7920,7360,245640566700,0.02,32109878,,,
555,166090,하나머티리얼즈,12500,50,0.4,213380,2625704650,12150,12550,12050,245345925000,0.02,19627674,,,
556,071055,한국금융지주우,41550,-950,-2.2,17988,743508700,42100,42850,40900,243410329050,0.02,5858251,,,
557,267260,현대일렉트릭,11950,-200,-1.6,55508,663930450,11900,12150,11850,243267763250,0.02,20357135,,,
558,023900,풍국주정,19200,-200,-1.0,205107,3942690900,19050,19650,19000,241920000000,0.02,12600000,,,
559,000430,대원강업,3900,-65,-1.6,12637,49125020,3960,3970,3800,241800000000,0.02,62000000,,,
560,123860,아나패스,23800,-300,-1.2,298780,7449344300,23950,26500,23750,241039260000,0.02,10127700,,,
561,004700,조광피혁,36250,350,1.0,1273,45096150,35100,36450,34600,241031252500,0.02,6649138,,,
562,272550,삼양패키징,16950,100,0.6,12697,210276250,16600,16950,16300,240856177800,0.02,14209804,,,
563,053030,바이넥스,7550,-50,-0.7,70243,528640700,7500,7630,7450,239644912400,0.02,31741048,,,
564,068400,AJ렌터카,10800,-150,-1.4,60326,644872700,10900,10900,10500,239180040000,0.02,22146300,,,
565,000540,흥국화재,3715,40,1.1,19633,72012840,3800,3800,3660,238661426175,0.02,64242645,,,
566,041190,우리기술투자,2840,-90,-3.1,1156407,3332448265,2880,2940,2840,238560000000,0.02,84000000,,,
567,950170,JTC,6800,-150,-2.2,72688,496867790,6840,7000,6790,238037515600,0.02,35005517,,,
568,030520,한글과컴퓨터,10300,-250,-2.4,82219,840147000,10350,10350,10100,237746773300,0.02,23082211,,,
569,038290,마크로젠,22400,-250,-1.1,29241,648191000,22200,22450,21950,237562169600,0.02,10605454,,,
570,011760,현대상사,17950,-550,-3.0,82140,1477995350,18100,18250,17750,237459939700,0.02,13228966,,,
571,102260,동성코퍼레이션,5220,-10,-0.2,311490,1674179290,5310,5630,5220,237222743400,0.02,45444970,,,
572,089980,상아프론테크,15450,350,2.3,294214,4534893250,14700,15750,14550,236372377350,0.02,15299183,,,
573,136490,선진,9940,-40,-0.4,11801,117505600,9960,10050,9870,236369263760,0.02,23779604,,,
574,319660,피에스케이,16000,-250,-1.5,64057,1033556400,16000,16550,15950,236240320000,0.02,14765020,,,
575,002840,미원상사,46700,2700,6.1,4142,190518100,44500,47000,44500,235126234100,0.02,5034823,,,
576,067280,멀티캠퍼스,39650,-800,-2.0,6990,276098850,40400,40400,39250,234996787350,0.02,5926779,,,
577,000140,하이트진로홀딩스,10100,-450,-4.3,479539,4976944300,10450,10850,10000,234388326500,0.02,23206765,,,
578,220630,해마로푸드서비스,2475,-75,-2.9,463981,1149377260,2500,2530,2450,234357156000,0.02,94689760,,,
579,000400,롯데손해보험,1745,-90,-4.9,570021,1007792620,1830,1830,1740,234318600000,0.02,134280000,,,
580,019210,와이지-원,7660,-160,-2.0,146434,1122532100,7760,7760,7620,233679008680,0.02,30506398,,,
581,007110,일신석재,3010,10,0.3,4741705,13955021655,2870,3020,2840,233144396100,0.02,77456610,,,
582,161000,애경유화,7270,150,2.1,167544,1204657030,7120,7300,7060,232930800000,0.02,32040000,,,
583,002030,아세아,106000,-2000,-1.8,1018,107527500,106000,106500,105000,232248544000,0.02,2191024,,,
584,035890,서희건설,1120,-15,-1.3,1051926,1180747640,1125,1135,1115,231930930560,0.02,207081188,,,
585,003545,대신증권우,8880,-60,-0.7,45015,398431540,8860,8920,8800,230880000000,0.02,26000000,,,
586,082920,비츠로셀,10700,-100,-0.9,56141,596967500,10800,10800,10500,230468926400,0.02,21539152,,,
587,063570,한국전자금융,6740,-140,-2.0,92499,621595040,6750,6780,6670,230155686720,0.02,34147728,,,
588,036630,세종텔레콤,379,-15,-3.8,3055192,1164977898,386,392,377,227523601754,0.02,600326126,,,
589,095570,AJ네트웍스,4850,-20,-0.4,49579,235363640,4860,4870,4655,227088130750,0.02,46822295,,,
590,251370,와이엠티,30650,-100,-0.3,16248,496725950,30150,31050,30100,226969380000,0.02,7405200,,,
591,067080,대화제약,12450,50,0.4,41249,505994150,12200,12500,12100,226900926300,0.02,18224974,,,
592,207760,미스터블루,9240,820,9.7,18780023,173461266170,8200,10150,8040,226426236960,0.02,24505004,,,
593,004380,삼익THK,10750,-150,-1.4,31155,333663700,10700,10850,10450,225750000000,0.02,21000000,,,
594,092230,KPX홀딩스,53300,-400,-0.7,544,29088400,54100,54100,53200,225173631800,0.02,4224646,,,
595,086390,유니테스트,10650,50,0.5,186818,1960832150,10350,10700,10250,225078441900,0.02,21134126,,,
596,091810,티웨이항공,4785,-205,-4.1,93376,446664445,4845,4850,4700,224774475420,0.02,46974812,,,
597,208340,파멥신,32500,600,1.9,46617,1492888250,31000,33450,30000,224601292500,0.02,6910809,,,
598,101530,해태제과식품,7700,-130,-1.7,17111,131587790,7760,7770,7640,224199529400,0.01,29116822,,,
599,104700,한국철강,4865,-50,-1.0,38536,186429165,4885,4890,4790,224033250000,0.01,46050000,,,
600,039440,에스티아이,14150,150,1.1,197188,2737418100,13750,14200,13450,223994500000,0.01,15830000,,,
601,067990,도이치모터스,7970,-610,-7.1,880731,7166031860,8510,8520,7910,223457639650,0.01,28037345,,,
602,003120,일성신약,83700,1300,1.6,257,21140100,81300,83700,81300,222642000000,0.01,2660000,,,
603,136480,하림,2560,-60,-2.3,303650,778512595,2570,2610,2540,222581601280,0.01,86945938,,,
604,023160,태광,8380,-70,-0.8,39139,328042920,8350,8450,8330,222070000000,0.01,26500000,,,
605,004360,세방,11500,-50,-0.4,4766,54757900,11650,11650,11400,222049935000,0.01,19308690,,,
606,229640,LS전선아시아,7250,-400,-5.2,195463,1420867270,7600,7680,7180,222030372750,0.01,30624879,,,
607,066700,테라젠이텍스,7160,290,4.2,448937,3241433220,7220,7500,7080,221567223880,0.01,30945143,,,
608,005070,코스모신소재,11200,-250,-2.2,187924,2097685350,11050,11350,11000,221177208000,0.01,19747965,,,
609,084690,대상홀딩스,6100,-120,-1.9,80084,487148880,6160,6180,6030,220896481800,0.01,36212538,,,
610,086980,쇼박스,3525,-135,-3.7,1544262,5487145380,3615,3650,3515,220665000000,0.01,62600000,,,
611,092130,이크레더블,18300,-50,-0.3,13467,242988750,18350,18350,17700,220397880000,0.01,12043600,,,
612,001940,KISCO홀딩스,11900,-100,-0.8,17838,208908550,12000,12000,11500,219868922000,0.01,18476380,,,
613,018120,진로발효,29200,-50,-0.2,755,22044250,29150,29300,29150,219700800000,0.01,7524000,,,
614,214180,민앤지,17300,-600,-3.4,110891,1920935550,17750,17750,17150,219406834800,0.01,12682476,,,
615,183300,코미코,25000,-900,-3.5,14901,374008700,25300,25650,24950,219375000000,0.01,8775000,,,
616,078150,HB테크놀러지,2770,45,1.6,1749667,4897948740,2680,2875,2645,218803480020,0.01,78990426,,,
617,003030,세아제강지주,52600,0,0.0,1477,77196400,52600,52800,51200,217851158200,0.01,4141657,,,
618,039560,다산네트웍스,6910,-400,-5.5,846597,5959419000,7190,7260,6880,217825132340,0.01,31523174,,,
619,064260,다날,3525,235,7.1,10041845,34757750195,3255,3575,3245,217717095375,0.01,61763715,,,
620,010955,S-Oil우,54100,100,0.2,6711,359343900,53100,54300,52700,217586250700,0.01,4021927,,,
621,102460,이연제약,12900,-100,-0.8,19706,254768600,12700,13200,12650,216333000000,0.01,16770000,,,
622,00104K,CJ4우(전환),51100,-800,-1.5,63207,3228829200,51200,51800,50000,215974763200,0.01,4226512,,,
623,067390,아스트,8410,-250,-2.9,170344,1438893220,8500,8580,8390,215965873320,0.01,25679652,,,
624,013030,하이록코리아,15750,-700,-4.3,17600,280033400,16300,16300,15750,214408404000,0.01,13613232,,,
625,007160,사조산업,42850,-1400,-3.2,11254,482720150,43400,43600,42250,214250000000,0.01,5000000,,,
626,051370,인터플렉스,9180,-20,-0.2,57771,531098810,9010,9340,8950,214146192960,0.01,23327472,,,
627,057500,SKC 솔믹스,3480,-155,-4.3,943341,3329241195,3605,3625,3455,213999259200,0.01,61494040,,,
628,143160,아이디스,19950,3850,23.9,1493676,27817814350,15200,20850,14600,213791980500,0.01,10716390,,,
629,079980,휴비스,6170,-140,-2.2,48334,300267400,6220,6340,6160,212865000000,0.01,34500000,,,
630,030960,양지사,13300,-700,-5.0,121570,1649072050,14050,14300,13300,212534000000,0.01,15980000,,,
631,284610,TS트릴리온,5640,20,0.4,418,2261170,5690,5690,5400,212385480000,0.01,37657000,,,
632,015360,예스코홀딩스,35350,-550,-1.5,3585,126302100,36900,36900,34850,212100000000,0.01,6000000,,,
633,033500,동성화인텍,7850,-210,-2.6,182718,1435514580,8040,8060,7760,211821330650,0.01,26983609,,,
634,003070,코오롱글로벌,8380,-360,-4.1,51958,438042020,8650,8740,8320,211263470440,0.01,25210438,,,
635,006490,인스코비,2340,-150,-6.0,1099616,2608891380,2420,2445,2305,210959660340,0.01,90153701,,,
636,121800,비덴트,7540,-190,-2.5,538218,4100955370,7600,7770,7520,210166363420,0.01,27873523,,,
637,043370,평화정공,9960,260,2.7,138933,1386120450,9700,10200,9560,209160000000,0.01,21000000,,,
638,138690,엘아이에스,13100,-100,-0.8,43121,560961400,13000,13150,12900,208786136300,0.01,15937873,,,
639,206640,바디텍메드,8880,-80,-0.9,40624,359376140,8900,9000,8730,208400652960,0.01,23468542,,,
640,110790,크리스에프앤씨,17750,750,4.4,7997,139141050,17200,17750,17000,207949770000,0.01,11715480,,,
641,271400,알로이스,76100,0,0.0,0,0,0,0,0,207479040000,0.01,2726400,,,
642,042520,한스바이오메드,20950,-100,-0.5,91143,1899796000,20950,21650,20100,207456411300,0.01,9902454,,,
643,011040,경동제약,7800,-40,-0.5,9293,71952730,7770,7800,7700,207090000000,0.01,26550000,,,
644,176440,에이치엔티,14350,650,4.7,95822,1369117450,13750,14600,13750,207077359300,0.01,14430478,,,
645,267850,아시아나IDT,18650,-700,-3.6,102095,1902811500,18800,19150,18400,207015000000,0.01,11100000,,,
646,282880,코윈테크,23000,-1600,-6.5,199859,4661639000,23950,24150,22900,207000000000,0.01,9000000,,,
647,040910,아이씨디,12250,1000,8.9,1367068,16129085000,10750,12400,10750,206388490000,0.01,16848040,,,
648,013580,계룡건설,23100,-200,-0.9,4317,98289950,22800,23300,22500,206303951700,0.01,8930907,,,
649,000680,LS네트웍스,2615,-200,-7.1,71721,190054465,2805,2805,2580,206069886840,0.01,78803016,,,
650,001200,유진투자증권,2125,-45,-2.1,137582,291768475,2115,2145,2100,205841138250,0.01,96866418,,,
651,014990,인디에프,3460,-65,-1.8,2619323,8947366905,3390,3465,3365,203908162700,0.01,58932995,,,
652,045100,한양이엔지,11300,-100,-0.9,137787,1562630300,11300,11550,11100,203400000000,0.01,18000000,,,
653,054780,키이스트,2380,-65,-2.7,529136,1271099060,2425,2445,2370,202717987500,0.01,85175625,,,
654,238090,앤디포스,4805,-185,-3.7,86578,423107640,4900,5010,4805,201603481100,0.01,41957020,,,
655,200670,휴메딕스,20150,-150,-0.7,15048,300450650,20100,20200,19750,200919559100,0.01,9971194,,,
656,226950,올릭스,30800,-200,-0.6,62121,1900618600,30600,31250,30000,200419326800,0.01,6507121,,,
657,053610,프로텍,18200,-450,-2.4,106516,1921668950,18700,18700,17750,200200000000,0.01,11000000,,,
658,073490,이노와이어리스,33350,2500,8.1,525526,17138226550,30200,33700,30200,200183375000,0.01,6002500,,,
659,031330,에스에이엠티,2000,-75,-3.6,1922527,3861308340,2015,2035,1990,199990134000,0.01,99995067,,,
660,225570,넷게임즈,8320,0,0.0,168629,1355577270,8240,8500,7800,199856592000,0.01,24021225,,,
661,035510,신세계 I&C,116000,-1500,-1.3,2294,265743500,115500,117000,114500,199520000000,0.01,1720000,,,
662,052330,코텍,12750,-100,-0.8,26199,330180650,12750,12900,12500,198575538000,0.01,15574552,,,
663,004970,신라교역,12400,-250,-2.0,33413,411980650,12500,12550,12150,198400000000,0.01,16000000,,,
664,003570,S&T중공업,5940,-120,-2.0,6107,36534080,6050,6070,5940,197521020180,0.01,33252697,,,
665,036030,KTH,5510,-230,-4.0,261217,1451929200,5730,5730,5460,196789771220,0.01,35715022,,,
666,043610,지니뮤직,3385,-80,-2.3,96036,326129455,3455,3455,3360,196720757630,0.01,58115438,,,
667,063080,게임빌,29800,-800,-2.6,37471,1120843850,29700,30300,29650,196536721600,0.01,6595192,,,
668,003200,일신방직,81800,-1500,-1.8,1502,122185700,84100,84100,80600,196320000000,0.01,2400000,,,
669,001270,부국증권,18850,-250,-1.3,1638,30921350,19000,19100,18850,195472351100,0.01,10369886,,,
670,004980,성신양회,7960,120,1.5,720497,5739977240,7720,8100,7660,195147941080,0.01,24516073,,,
671,236200,슈프리마,27250,-1450,-5.0,123260,3365362550,28050,28050,26750,195117439250,0.01,7160273,,,
672,054950,제이브이엠,30800,-1150,-3.6,6314,195742600,32250,32250,30700,194991966400,0.01,6330908,,,
673,245620,EDGC,5390,20,0.4,585963,3146197110,5250,5610,5140,194972146600,0.01,36172940,,,
674,086820,바이오솔루션,24400,350,1.5,292229,7252509550,24450,26800,23500,194769974400,0.01,7982376,,,
675,195870,해성디에스,11450,-250,-2.1,90218,1015939200,11700,11700,11000,194650000000,0.01,17000000,,,
676,005680,삼영전자,9720,-90,-0.9,20403,198797080,9830,9990,9630,194400000000,0.01,20000000,,,
677,220250,카이노스메드,14100,150,1.1,262,3669350,14100,14100,13900,193961870100,0.01,13756161,,,
678,016250,이테크건설,69100,-2300,-3.2,7806,540793200,69000,71400,68500,193480000000,0.01,2800000,,,
679,065530,전파기지국,3660,-155,-4.1,338073,1258332320,3760,3810,3660,193467600000,0.01,52860000,,,
680,138490,코오롱플라스틱,5090,-170,-3.2,362973,1855036430,5180,5240,5030,193420000000,0.01,38000000,,,
681,004060,SG세계물산,953,-47,-4.7,2280218,2208095880,994,996,951,192910986880,0.01,202424960,,,
682,001250,GS글로벌,2325,-25,-1.1,104083,241177225,2310,2340,2305,191891001300,0.01,82533764,,,
683,004150,한솔홀딩스,4050,-110,-2.6,63689,257440725,4115,4115,4010,191093899950,0.01,47183679,,,
684,108790,인터파크,5750,-200,-3.4,73646,423812780,5940,5940,5650,190644010000,0.01,33155480,,,
685,052260,SK바이오랜드,12650,-350,-2.7,42015,533312150,12700,12900,12600,189750000000,0.01,15000000,,,
686,189300,인텔리안테크,25000,0,0.0,73479,1822870050,24950,25550,24250,188512550000,0.01,7540502,,,
687,023910,대한약품,31400,-750,-2.3,23598,737160850,31950,31950,30950,188400000000,0.01,6000000,,,
688,026890,디피씨,4490,-30,-0.7,254036,1136987090,4465,4515,4395,187135005750,0.01,41678175,,,
689,009160,SIMPAC,2860,65,2.3,367151,1040388680,2795,2945,2720,187128415760,0.01,65429516,,,
690,214390,경보제약,7820,-190,-2.4,24093,189710510,8090,8090,7800,186951645200,0.01,23906860,,,
691,004960,한신공영,16150,-50,-0.3,7932,127531250,15950,16300,15350,186866837300,0.01,11570702,,,
692,068930,디지털대성,8280,180,2.2,87311,721207320,8100,8370,8080,186670306440,0.01,22544723,,,
693,123040,엠에스오토텍,5950,380,6.8,9517385,56791968920,5550,6400,5450,186629717050,0.01,31366339,,,
694,087010,펩트론,12150,50,0.4,100515,1207808250,11800,12400,11550,186216975000,0.01,15326500,,,
695,228850,레이언스,11200,-500,-4.3,16276,183128900,11600,11600,11000,185819356800,0.01,16591014,,,
696,054050,농우바이오,11550,-50,-0.4,74123,850205550,11550,11700,11300,185152979550,0.01,16030561,,,
697,045970,코아시아,9220,710,8.3,531377,4879483010,8400,9820,8240,184662050840,0.01,20028422,,,
698,001530,DI동일,76200,-400,-0.5,7912,612938000,76700,79600,76200,184512204000,0.01,2421420,,,
699,159580,제로투세븐,9200,-700,-7.1,360199,3324880520,9700,9700,9020,184300251200,0.01,20032636,,,
700,260930,씨티케이코스메틱스,18200,-200,-1.1,3262,58875700,18700,18700,17750,184223148200,0.01,10122151,,,
701,005960,동부건설,8810,260,3.0,41571,364220760,8730,8880,8590,183974684040,0.01,20882484,,,
702,054620,APS홀딩스,9020,-90,-1.0,800283,7374924010,9070,9560,8870,183955873420,0.01,20394221,,,
703,009270,신원,2160,-25,-1.1,1504059,3222593895,2110,2180,2105,183691797840,0.01,85042499,,,
704,060720,KH바텍,8690,220,2.6,281667,2464151750,8470,9010,8440,183669945580,0.01,21135782,,,
705,299660,셀리드,19200,100,0.5,67733,1314372600,18800,20000,18650,183622886400,0.01,9563692,,,
706,194370,제이에스코퍼레이션,13700,-150,-1.1,13055,180161800,13850,14000,13450,182697733700,0.01,13335601,,,
707,000700,유수홀딩스,7010,-250,-3.4,39864,281994750,7190,7200,6940,182553102120,0.01,26041812,,,
708,128820,대성산업,4020,-160,-3.8,88875,358531365,4155,4155,4005,181846621560,0.01,45235478,,,
709,002020,코오롱,14400,-250,-1.7,43272,619551750,14400,14900,14150,181820534400,0.01,12626426,,,
710,121440,골프존뉴딘홀딩스,4240,-60,-1.4,53562,225091440,4295,4295,4150,181628108320,0.01,42836818,,,
711,090360,로보스타,18600,-250,-1.3,53356,979956350,18500,18700,18050,181350000000,0.01,9750000,,,
712,016610,DB금융투자,4265,-70,-1.6,90566,383419790,4285,4295,4185,181033849085,0.01,42446389,,,
713,052710,아모텍,18550,-100,-0.5,70351,1282430700,18100,18700,18000,180740181300,0.01,9743406,,,
714,011930,신성이엔지,1040,-50,-4.6,927142,965430415,1085,1085,1025,180679392400,0.01,173730185,,,
715,025320,시노펙스,2565,-30,-1.2,1118068,2868009890,2560,2620,2495,179926793370,0.01,70146898,,,
716,306200,세아제강,63300,600,1.0,5298,337846000,62400,64500,61100,179537790000,0.01,2836300,,,
717,085370,루트로닉,7050,30,0.4,64958,448609390,6860,7050,6790,179081815800,0.01,25401676,,,
718,036580,팜스코,4865,-225,-4.4,73493,360505305,5070,5070,4820,178681442695,0.01,36727943,,,
719,012700,리드코프,6750,-190,-2.7,2187831,15192171630,6860,7130,6700,178511411250,0.01,26446135,,,
720,095190,이엠코리아,4880,-130,-2.6,409806,2020679725,4970,5030,4870,177303595520,0.01,36332704,,,
721,203690,프로스테믹스,3870,0,0.0,129659,495524220,3755,3900,3720,176768055000,0.01,45676500,,,
722,002170,삼양통상,58900,-200,-0.3,10853,644425800,61800,61800,58400,176700000000,0.01,3000000,,,
723,097780,에스맥,799,0,0.0,711368,561282011,781,803,776,176529680926,0.01,220938274,,,
724,060280,큐렉소,5290,-100,-1.9,25164,131860210,5230,5310,5200,176459868370,0.01,33357253,,,
725,044490,태웅,8810,290,3.4,38259,333528530,8500,8890,8350,176265026610,0.01,20007381,,,
726,228670,레이,26400,-400,-1.5,201789,5286159050,25750,27250,25100,175646248800,0.01,6653267,,,
727,168490,한국패러랠,2195,20,0.9,3652,7925220,2195,2195,2170,175643900000,0.01,80020000,,,
