순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
177,028150,GS홈쇼핑,154900,-3600,-2.3,8100,1256719500,156000,157600,154100,1016531250000,0.07,6562500,,,
178,161890,한국콜마,44050,500,1.2,583257,25914532600,43900,45450,43600,1007915979000,0.07,22881180,,,
179,001800,오리온홀딩스,15600,-150,-1.0,46471,725601050,15500,15800,15400,977268583200,0.07,62645422,,,
180,215600,신라젠,13600,0,0.0,6895919,92384089000,13150,14200,12750,966308900000,0.06,71052125,,,
181,030190,NICE평가정보,15900,-300,-1.8,207433,3303587350,15950,16200,15850,965365638000,0.06,60714820,,,
182,280360,롯데제과,150000,0,0.0,4070,614670500,148000,154000,148000,962507550000,0.06,6416717,,,
183,192080,더블유게임즈,52700,-2000,-3.7,59177,3134413300,54500,54500,52600,962328455400,0.06,18260502,,,
184,010780,아이에스동서,31100,900,3.0,84350,2577583500,30000,31300,29750,960760046600,0.06,30892606,,,
185,009410,태영건설,12500,-400,-3.1,227143,2848741350,12800,12800,12400,955000000000,0.06,76400000,,,
186,025980,아난티,11300,-350,-3.0,1060967,12003143050,11300,11450,11200,952883924300,0.06,84326011,,,
187,093370,후성,9970,-130,-1.3,5925897,59513246900,9940,10200,9920,923289985430,0.06,92606819,,,
188,003690,코리안리,7570,-130,-1.7,232808,1761797650,7730,7750,7500,911194208120,0.06,120369116,,,
189,003090,대웅,15650,-300,-1.9,93835,1493311100,16000,16000,15550,909921987000,0.06,58141980,,,
190,014680,한솔케미칼,79800,-500,-0.6,22135,1754082600,80300,80300,78400,901356561000,0.06,11295195,,,
191,178920,SKC코오롱PI,30500,-250,-0.8,297901,9225555050,31000,31900,30450,895672821000,0.06,29366322,,,
192,002350,넥센타이어,9090,420,4.8,229144,2056425720,8670,9150,8670,887801001930,0.06,97667877,,,
193,039030,이오테크닉스,72000,-1300,-1.8,49162,3526191600,72100,72800,70600,887007600000,0.06,12319550,,,
194,014820,동원시스템즈,34600,-100,-0.3,16197,558674400,34300,34800,33950,886400480600,0.06,25618511,,,
195,003000,부광약품,13850,0,0.0,89650,1226750450,13600,13900,13500,879909432950,0.06,63531367,,,
196,069260,휴켐스,21500,0,0.0,61990,1331232150,21150,21700,21150,878889642000,0.06,40878588,,,
197,140410,메지온,101200,-3300,-3.2,90188,9121087100,100300,103500,100000,875830542400,0.06,8654452,,,
198,214150,클래시스,13900,700,5.3,1050951,14474208400,13600,14150,13350,861425770300,0.06,61973077,,,
199,023590,다우기술,19150,-900,-4.5,115970,2228961550,19750,19950,18950,859195715550,0.06,44866617,,,
200,003380,하림지주,9050,-190,-2.1,70126,636099680,9200,9200,9020,846936991900,0.06,93584198,,,
