종목명,ROE(자본수익률),EV/EABITDA(이익수익률)
소프트센,n/a,31.85
소프트캠프,25.49,1.5
손오공,5.65,34.9
솔고바이오,n/a,n/a
솔루에타,n/a,6.46
솔본,7.46,8.72
솔브레인,14.53,3.93
솔트웍스,0.09,45.41
송원산업,9.61,7.63
쇼박스,3.11,4.14
수산아이앤티,4.37,10.56
수산중공업,6.95,48.96
수성,n/a,n/a
수젠텍,n/a,n/a
수프로,10.97,11.42
슈펙스비앤피,n/a,n/a
슈프리마,11.06,11.55
슈프리마에이치큐,5.57,8.46
슈피겐코리아,17.7,6.37
스맥,n/a,38.85
스카이문스테크놀로지,n/a,n/a
스킨앤스킨,n/a,n/a
스타플렉스,7.84,22.07
스템랩,n/a,n/a
스튜디오드래곤,9.31,22.51
스튜디오썸머,n/a,n/a
스페코,n/a,n/a
승일,5.73,7.14
시공테크,1.51,n/a
시그네틱스,n/a,4.57
시그넷이브이,n/a,20.7
시너지이노베이션,n/a,18.9
시노펙스,1.11,17.99
시디즈,17.13,15.56
시스웍,14.15,7.99
시큐브,10.06,17.85
시큐센,n/a,32.64
신대양제지,24.79,2.95
신도리코,4.06,9.69
신라교역,8.17,16.52
신라섬유,1.21,73.62
신라에스지,n/a,19.51
신라젠,n/a,n/a
신성델타테크,3.43,7.48
신성이엔지,10.92,23.47
신성통상,3.31,10.82
신세계,6.94,9.92
신세계I&C,16.32,7.1
신세계건설,24.25,3.33
신세계인터내셔날,11.09,17.88
신세계푸드,2.69,7.35
신송홀딩스,n/a,44.22
신스타임즈,n/a,n/a
신신제약,5.43,32.98
신영스팩4호,n/a,n/a
신영와코루,0.88,41.48
신영증권,6.73,n/a
신원,n/a,27.54
신원종합개발,16.89,4.18
신일산업,18.87,5.84
신일제약,6.14,7.89
신진에스엠,4.66,8.31
신풍제약,0.92,21.58
신풍제지,18.04,2.36
신한,n/a,2.07
신한알파리츠,n/a,510.7
신한제3호스팩,0.66,n/a
신한제4호스팩,1.0,n/a
신한지주,9.21,n/a
신화실업,1.76,16.1
신화인터텍,n/a,12.86
신화콘텍,n/a,7.47
신흥,3.52,27.13
신흥에스이씨,12.52,13.11
실리콘웍스,11.4,8.49
심텍,2.36,3.57
심텍홀딩스,0.53,3.6
싸이맥스,12.89,4.67
싸이토젠,n/a,n/a
쌍방울,n/a,45.93
쌍용양회공업,7.51,10.03
쌍용자동차,n/a,4.34
쌍용정보통신,50.09,15.03
써니전자,9.42,66.43
썬테크,n/a,n/a
썬텍,n/a,n/a
썸에이지,n/a,n/a
쎄노텍,n/a,737.84
쎄니트,4.37,10.2
쎄미시스코,2.97,64.18
쎄트렉아이,8.23,9.21
쎌바이오텍,19.8,11.2
쏠리드,9.48,26.72
씨씨에스,n/a,29.54
씨아이에스,n/a,n/a
씨아이테크,n/a,34.84
씨알푸드,4.41,25.79
씨앗,1.64,9.17
씨앤에스링크,6.51,7.15
씨앤지하이테크,24.08,3.9
씨에스윈드,1.96,12.78
씨엔플러스,n/a,n/a
씨엠에스에듀,12.31,13.94
씨유메디칼,3.91,12.27
씨이랩,n/a,n/a
씨젠,7.48,25.09
씨케이에이치,n/a,n/a
씨큐브,9.27,8.91
씨트리,n/a,n/a
씨티네트웍스,n/a,4.64
씨티씨바이오,n/a,n/a
씨티젠,n/a,35.35
씨티케이코스메틱스,4.69,34.24
아가방컴퍼니,n/a,n/a
아나패스,n/a,n/a
아난티,n/a,46.12
아남전자,n/a,n/a
아리온,n/a,n/a
아모그린텍,n/a,n/a
아모레퍼시픽,7.75,17.85
아모레퍼시픽그룹,4.65,10.83
아모텍,3.66,8.7
아미노로직스,16.26,34.9
아미코젠,37.11,64.25
아바코,22.73,3.88
아바텍,5.63,6.76
아비코전자,26.39,6.95
아세아,7.07,5.59
아세아시멘트,2.08,7.57
아세아제지,15.83,2.59
아세아텍,3.05,11.48
아스타,n/a,n/a
아스트,3.94,20.39
아시아경제,31.09,8.73
아시아나IDT,6.6,6.99
아시아나항공,n/a,7.05
아시아종묘,n/a,n/a
아우딘퓨쳐스,18.33,16.54
아이디스,2.86,30.03
아이디스홀딩스,10.72,7.0
아이마켓코리아,3.25,6.04
아이센스,13.16,9.2
아이쓰리시스템,14.55,8.65
아이씨디,22.47,2.98
아이씨케이,n/a,n/a
아이앤씨,3.82,13.15
아이에스동서,23.01,3.28
아이에스이커머스,n/a,n/a
아이에이,n/a,92.44
아이에이치큐,n/a,5.54
아이엘사이언스,42.77,39.36
아이엠,n/a,7.56
아이엠텍,n/a,n/a
아이오케이,n/a,n/a
아이원스,4.29,8.66
아이즈비전,13.22,6.71
아이진,n/a,n/a
아이컴포넌트,n/a,264.21
아이케이세미콘,7.13,16.57
아이큐어,n/a,n/a
아이크래프트,n/a,65.21
아이텍,4.97,11.18
아이티센,n/a,19.51
아이피몬스터,n/a,n/a
아주IB투자,8.19,n/a
아주캐피탈,12.5,n/a
아즈텍WB,4.4,13.71
아진산업,n/a,5.88
아진엑스텍,10.87,9.18
아프리카TV,26.6,14.56
안국약품,9.32,6.96
안랩,12.08,18.03
안지오랩,n/a,310.08
안트로젠,n/a,n/a
알로이스,47.28,3.52
알루코,0.94,10.39
알리코제약,2.99,13.79
알서포트,9.73,18.58
알에스오토메이션,2.6,36.13
알에프세미,0.45,10.79
알에프텍,5.51,11.33
알엔투테크놀로지,4.43,15.57
알테오젠,n/a,n/a
알톤스포츠,n/a,128.93
알티캐스트,n/a,8.38
알파홀딩스,n/a,n/a
앙츠,46.79,3.17
애경산업,28.48,14.29
애경유화,16.36,4.1
애니젠,n/a,n/a
액션스퀘어,n/a,n/a
액토즈소프트,n/a,192.57
액트,6.97,8.44
액트로,30.38,2.84
앤디포스,n/a,24.72
앤씨앤,n/a,n/a
앤유엔터테인먼트,n/a,n/a
앱클론,n/a,n/a
야스,29.17,4.44
양지사,3.95,31.72
어보브반도체,10.8,6.83
엄지하우스,10.0,4.46
에너전트,n/a,n/a
에너토크,3.25,14.47
에넥스,2.28,17.82
에듀파트너,5.48,0.96
에버다임,5.4,5.96
에브리봇,5.48,28.18
에스넷,6.63,7.21
에스디생명공학,8.3,16.35
에스디시스템,n/a,n/a
에스마크,n/a,n/a
에스맥,4.01,10.44
에스모,n/a,353.99
에스씨디,7.83,6.64
에스아이리소스,n/a,27.05
에스알바이오텍,n/a,n/a
에스앤더블류,n/a,n/a
에스앤디,16.95,19.53
에스앤씨엔진그룹,4.13,1.63
에스앤에스텍,5.85,6.26
에스에너지,n/a,19.88
에스에스알,7.19,28.31
에스에이엠티,15.67,6.06
에스에이티,8.53,4.8
에스에이티이엔지,15.69,7.53
에스에프씨,n/a,n/a
에스에프에이,20.22,4.96
에스엔유,9.68,6.3
에스엔텍,14.11,11.12
에스엔피제네틱스,38.71,n/a
에스엘,3.01,7.95
에스엘에스바이오,n/a,48.31
에스엠,7.96,15.45
에스엠비나,31.36,4.54
에스엠코어,2.0,89.75
에스와이,1.61,13.92
에스원,8.34,11.12
에스제이엠,2.62,7.82
에스제이엠홀딩스,2.11,17.4
에스제이케이,n/a,n/a
에스제이켐,n/a,n/a
에스케이씨에스,n/a,18.4
에스코넥,15.47,3.99
에스텍,15.15,4.19
에스텍파마,7.68,23.0
에스트래픽,n/a,n/a
에스티아이,16.44,5.81
에스티오,n/a,12.01
에스티큐브,n/a,n/a
에스티팜,n/a,n/a
에스폴리텍,3.33,8.16
에스퓨얼셀,8.22,86.16
에스피지,6.93,11.59
에쎈테크,6.86,17.45
에쓰씨엔지니어링,41.43,7.08
에어부산,14.79,10.67
에이디칩스,n/a,n/a
에이디테크놀로지,19.36,7.25
에이리츠,14.58,72.57
에이블씨엔씨,n/a,n/a
에이비엘바이오,n/a,n/a
에이비온,n/a,n/a
에이스침대,6.96,5.69
에이스테크,4.4,11.14
에이씨티,n/a,n/a
에이아이비트,n/a,25.52
에이앤티앤,n/a,n/a
에이엔피,n/a,1241.34
에이원알폼,4.54,4.8
에이치시티,8.26,4.72
에이치엔에스하이텍,n/a,n/a
에이치엔티,0.47,3.29
에이치엘비,20.12,n/a
에이치엘비생명과학,n/a,n/a
에이치엘비파워,n/a,n/a
에이치엘사이언스,18.71,17.23
에이치케이,3.03,21.25
에이테크솔루션,0.86,10.88
에이텍,8.99,12.83
에이텍티앤,7.21,7.2
에이티넘인베스트,9.6,n/a
에이티세미콘,10.82,3.68
에이티젠,n/a,n/a
에이펙스인텍,11.13,13.55
에이프로젠 H&G,5.26,428.16
에이프로젠 KIC,n/a,121.42
에이프로젠제약,n/a,401.69
에이피티씨,45.18,6.18
에치에프알,n/a,19.72
에코마이스터,n/a,n/a
에코마케팅,19.46,10.45
에코바이오,n/a,36.05
에코캡,3.59,8.33
에코프로,24.03,11.25
에코프로비엠,26.73,2.48
에코플라스틱,n/a,5.58
에프알텍,n/a,n/a
에프앤가이드,7.03,18.55
에프앤리퍼블릭,6.87,12.03
에프에스티,19.36,3.26
에프엔씨엔터,n/a,n/a
에프엔에스테크,7.96,7.79
엑사이엔씨,n/a,6.98
엑세스바이오,n/a,n/a
엑셈,11.6,17.47
엑시콘,4.71,7.71
엔브이에이치코리아,n/a,11.47
엔솔바이오사이언스,n/a,n/a
엔시트론,n/a,n/a
엔씨소프트,16.44,15.94
엔에스,12.64,13.49
엔에스쇼핑,8.06,8.02
엔에스엔,n/a,n/a
엔에스컴퍼니,7.95,71.8
엔에이치스팩10호,1.33,n/a
엔에이치스팩11호,1.19,n/a
엔에이치스팩12호,1.02,n/a
엔에이치스팩13호,n/a,n/a
엔에이치스팩14호,n/a,n/a
엔에이치엔,5.79,12.03
엔지스테크널러지,n/a,n/a
엔지켐생명과학,n/a,n/a
엔케이,n/a,n/a
엔케이맥스,n/a,n/a
엔케이물산,n/a,n/a
엔터메이트,n/a,n/a
엔텔스,5.89,34.0
엔피씨,4.63,3.61
엔피케이,n/a,7.74
엘디티,3.86,28.63
엘리비젼,n/a,n/a
엘브이엠씨,n/a,n/a
엘비세미콘,14.09,5.35
엘아이에스,0.42,17.13
엘앤씨바이오,15.03,23.91
엘앤에프,14.83,27.58
엘앤케이바이오,n/a,n/a
엘에이티,25.4,19.63
엘엠에스,5.74,2.8
엘오티베큠,14.45,3.8
엘컴텍,4.31,38.0
엘티씨,0.96,9.2
엠게임,8.15,10.18
엠로,n/a,15.56
엠벤처투자,8.48,n/a
엠씨넥스,26.19,2.63
엠아이텍,1.23,16.08
엠앤씨생명과학,n/a,n/a
엠에스씨,14.13,8.67
엠에스오토텍,4.1,5.09
엠에프엠코리아,2.74,23.97
엠젠플러스,n/a,n/a
엠케이전자,8.47,5.32
엠코르셋,7.9,8.18
엠플러스,4.36,34.36
연우,3.89,14.34
연이정보통신,3.6,5.51
영보화학,4.07,5.33
영신금속,10.42,9.53
영우디에스피,n/a,n/a
영원무역,8.15,6.85
영원무역홀딩스,8.49,5.77
영인프런티어,9.24,57.47
영진약품,n/a,246.22
영풍,3.69,28.33
영풍정밀,3.8,10.44
영풍제지,13.72,3.47
영화금속,1.48,19.87
영화테크,8.27,12.0
영흥철강,n/a,21.99
예림당,9.15,4.82
예스24,n/a,32.55
예스코홀딩스,1.15,7.78
예스티,n/a,38.86
옐로페이,n/a,n/a
오가닉티코스메틱,19.43,2.33
오공,9.59,5.53
오디텍,2.98,17.39
오뚜기,13.87,12.64
오렌지라이프,8.37,n/a
오로라,5.96,10.95
오르비텍,5.38,16.87
오리엔탈정공,n/a,n/a
오리엔트바이오,n/a,315.19
오리엔트정공,n/a,n/a
오리온,10.31,12.47
오리온홀딩스,3.03,5.53
오리콤,11.83,4.8
오상자이엘,n/a,98.83
오성첨단소재,5.27,30.56
오션브릿지,29.43,3.86
오스코텍,10.28,95.79
오스테오닉,n/a,31.72
오스템,n/a,15.04
오스템임플란트,11.45,19.34
오이솔루션,3.83,26.66
오킨스전자,0.5,4.62
오텍,11.25,5.91
오파스넷,9.77,15.97
오픈베이스,n/a,37.41
올릭스,n/a,n/a
옴니시스템,4.31,14.25
옴니텔,11.41,n/a
옵토팩,n/a,n/a
옵트론텍,3.67,7.01
옵티시스,8.1,9.72
옵티팜,n/a,20000.31
와이디온라인,n/a,n/a
와이비엠넷,0.87,15.5
와이솔,18.89,3.86
와이아이케이,30.71,4.48
와이엔텍,8.06,6.65
와이엠씨,19.93,4.97
와이엠티,12.01,7.6
와이오엠,n/a,183.03
와이제이엠게임즈,n/a,n/a
와이지-원,6.8,8.35
와이지엔터테인먼트,5.07,49.99
와토스코리아,3.98,13.1
용평리조트,2.48,9.39
우노앤컴퍼니,n/a,26.43
우리금융지주,n/a,n/a
우리기술,n/a,n/a
우리기술투자,15.78,n/a
우리넷,3.58,22.26
우리들제약,8.3,13.8
우리들휴브레인,n/a,n/a
우리로,n/a,13.15
우리바이오,n/a,8.8
우리산업,11.78,12.95
우리산업홀딩스,1.41,8.02
우리손에프앤지,15.93,5.29
우리이앤엘,3.66,5.55
우리조명,n/a,10.88
우리종금,11.12,n/a
우림기계,4.88,6.61
우성사료,n/a,143.24
우수AMS,2.47,9.26
우신시스템,n/a,25.2
우원개발,n/a,24.99
우정바이오,n/a,n/a
우주일렉트로,0.37,5.3
우진,n/a,79.57
우진비앤지,n/a,n/a
우진아이엔에스,15.52,4.08
우진플라임,n/a,n/a
웅진,n/a,n/a
웅진씽크빅,7.2,4.38
웅진에너지,n/a,n/a
웅진코웨이,33.84,7.78
원림,n/a,18.75
원익,n/a,25.61
원익IPS,25.45,6.67
원익QnC,21.25,6.64
원익머트리얼즈,16.27,4.46
원익큐브,n/a,155.2
원익홀딩스,10.83,5.93
원일특강,6.34,9.52
원텍,0.1,n/a
원풍,2.73,10.14
원풍물산,n/a,435.95
월덱스,28.23,4.03
웨이브일렉트로,n/a,n/a
웰바이오텍,n/a,n/a
웰크론,10.1,12.66
웰크론강원,4.19,51.17
웰크론한텍,n/a,15.81
웹스,n/a,11.72
웹젠,17.28,9.9
웹케시,28.29,23.13
위닉스,17.46,10.14
위메이드,n/a,n/a
위세아이텍,19.45,10.35
위월드,10.57,6.37
위즈코프,0.62,17.92
위지윅스튜디오,18.75,14.22
위지트,10.05,15.17
윈스,12.04,9.63
윈팩,4.19,6.99
윈하이텍,11.74,7.94
윌비스,n/a,10.69
윙입푸드,31.07,1.89
유나이티드,14.73,8.25
유니드,5.52,4.93
유니셈,22.72,3.51
유니슨,n/a,44.66
유니온,n/a,14.46
유니온머티리얼,n/a,15.17
유니온커뮤니티,11.14,8.81
유니켐,23.1,9.2
유니퀘스트,6.55,49.88
유니크,2.57,13.78
유니테스트,44.95,2.97
유니테크노,9.47,20.18
유니트론텍,17.74,12.05
유니포인트,16.85,5.86
유라테크,4.23,6.54
유바이오로직스,17.3,22.96
유비벨록스,2.39,35.44
유비온,140.04,6.03
유비케어,7.78,21.95
유비쿼스,20.13,10.6
유비쿼스홀딩스,5.12,9.98
유성기업,1.4,5.68
유성티엔에스,7.08,9.87
유수홀딩스,4.37,6.67
유신,n/a,n/a
유쎌,n/a,n/a
유아이디,n/a,n/a
유아이엘,5.49,4.42
유안타제3호스팩,n/a,n/a
유안타제4호스팩,n/a,n/a
유안타증권,9.15,n/a
유앤아이,n/a,n/a
유양디앤유,n/a,n/a
유에스티,2.87,25.96
유엔젤,4.35,16.14
유유제약,4.79,10.55
유지인트,n/a,209.8
유진기업,3.15,7.12
유진로봇,n/a,514.63
유진증권,6.37,n/a
유진테크,8.27,5.01
유테크,n/a,n/a
유투바이오,n/a,n/a
유티아이,11.24,6.34
유틸렉스,n/a,n/a
유한양행,3.55,24.43
유화증권,1.31,n/a
육일씨엔에쓰,0.64,7.52
율촌화학,4.38,11.56
이건산업,3.73,6.37
이건홀딩스,12.51,18.66
이구산업,n/a,37.18
이그잭스,n/a,19.25
이글루시큐리티,19.4,13.04
이글벳,3.14,18.19
이노메트리,19.21,17.94
이노벡스,n/a,n/a
이노션,10.98,10.21
이노와이어리스,0.33,60.8
이노인스트루먼트,n/a,n/a
이노테라피,n/a,n/a
이녹스,n/a,16.59
이녹스첨단소재,22.4,7.74
이니텍,n/a,6.48
이더블유케이,12.07,10.6
이라이콤,3.97,4.89
이랜텍,n/a,9.5
이루온,3.5,16.81
이리츠코크렙,1.75,24.7
이마트,5.49,9.18
이매진아시아,n/a,n/a
이미지스,n/a,n/a
이베스트투자증권,8.58,n/a
이비테크,9.64,14.99
이상네트웍스,8.45,12.52
이수앱지스,n/a,n/a
이수페타시스,n/a,14.03
이수화학,2.31,25.65
이스타코,n/a,n/a
이스트소프트,6.96,15.35
이스트아시아홀딩스,1.16,3.89
이씨에스,6.97,9.28
이아이디,n/a,n/a
이에스브이,n/a,n/a
이에스산업,0.07,94.18
이에스에이,n/a,n/a
이엑스티,8.11,18.82
이엔드디,n/a,8.66
이엔에프테크놀로지,14.05,4.13
이엘케이,n/a,n/a
이엘피,24.7,3.98
이엠넷,8.88,8.29
이엠코리아,n/a,50.4
이엠텍,14.27,7.37
이엠티,n/a,n/a
이연제약,0.61,54.31
이오테크닉스,5.98,19.58
이원컴포텍,n/a,13.23
이월드,6.29,31.09
이즈미디어,9.64,8.08
이지바이오,9.63,9.02
이지웰페어,7.43,8.96
이지케어텍,13.11,0.02
이크레더블,27.8,11.75
이테크건설,13.14,6.83
이트론,n/a,n/a
이퓨쳐,2.0,12.84
이화공영,1.11,526.03
이화산업,n/a,118.5
이화전기,n/a,n/a
인디에프,0.34,27.18
인바디,17.04,11.56
인베니아,12.86,10.71
인산가,n/a,7.57
인선이엔티,8.83,9.88
인성정보,n/a,21.88
인스코비,n/a,60.3
인지디스플레,6.61,2.42
인지컨트롤스,1.56,7.92
인천도시가스,9.19,4.23
인카금융서비스,9.44,5.04
인콘,n/a,n/a
인크로스,13.82,10.94
인탑스,5.76,4.18
인터로조,13.05,12.72
인터불스,n/a,n/a
인터엠,n/a,8.55
인터지스,n/a,15.52
인터코스,n/a,n/a
인터파크,n/a,10.95
인터파크홀딩스,n/a,8.45
인터플렉스,n/a,n/a
인텍플러스,n/a,n/a
인텔리안테크,13.32,6.78
인트로메딕,n/a,n/a
인트론바이오,25.13,106.16
인팩,1.63,6.4
인포마크,0.58,15.65
인포바인,12.72,6.4
인포뱅크,5.79,18.8
인프라웨어,n/a,n/a
인프라웨어테크놀러지,n/a,n/a
인피니트헬스케어,6.66,28.48
인화정공,n/a,27.18
일동제약,4.53,9.94
일동홀딩스,n/a,59.36
일성건설,2.79,7.26
일성신약,0.91,48.24
일신바이오,8.91,21.78
일신방직,3.06,6.98
일신석재,0.81,85.85
일야,n/a,n/a
일양약품,n/a,23.33
일정실업,n/a,n/a
일지테크,n/a,2.84
일진다이아,7.71,15.11
일진디스플,2.03,9.66
일진머티리얼즈,7.8,25.74
일진전기,n/a,16.55
일진파워,18.93,4.16
일진홀딩스,n/a,12.29
잇츠한불,1.89,22.94
잉글우드랩,n/a,54.03
잉크테크,n/a,39.75
자비스,n/a,119.44
자연과환경,3.01,52.4
자이글,n/a,n/a
자화전자,n/a,5.68
장원테크,14.99,4.71
재영솔루텍,9.56,16.44
전방,n/a,72.57
전우정밀,n/a,11.35
전진바이오팜,n/a,n/a
전파기지국,1.38,7.18
정다운,20.8,4.7
정산애강,11.08,9.46
정상제이엘에스,5.65,7.42
정원엔시스,11.51,20.4
제낙스,n/a,n/a
제너셈,n/a,n/a
제넥신,n/a,n/a
제넨바이오,n/a,87.91
제노레이,27.35,6.21
제노텍,n/a,63.99
제노포커스,n/a,296.9
제놀루션,4.67,44.44
제닉,n/a,n/a
제로투세븐,n/a,n/a
제룡산업,5.96,24.54
제룡전기,5.83,25.35
제미니투자,n/a,n/a
제우스,15.7,3.05
제이브이엠,6.68,10.59
제이스테판,n/a,n/a
제이스텍,6.22,8.97
제이씨케미칼,6.16,10.37
제이씨현시스템,11.55,6.45
제이에스코퍼레이션,3.76,17.95
제이에스티나,0.34,26.22
제이엔케이히터,n/a,20.84
제이엠아이,n/a,n/a
제이엠티,21.73,2.74
제이웨이,n/a,60.26
제이준코스메틱,n/a,36.25
제이콘텐트리,7.45,9.46
제이티,13.11,8.67
제일기획,15.01,11.89
제일바이오,3.46,32.15
제일약품,1.04,51.39
제일연마,7.19,7.24
제일제강,0.6,14.95
제일테크노스,7.34,4.99
제일파마홀딩스,2.04,46.13
제주반도체,16.81,12.12
제주은행,6.25,n/a
제주항공,19.86,6.43
젠큐릭스,n/a,n/a
젬백스,n/a,358.42
조광ILI,9.05,7.6
조광페인트,n/a,48.48
조광피혁,5.9,12.33
조비,0.69,46.76
조선내화,9.22,7.03
조선선재,11.75,6.95
조아제약,1.19,35.74
조이맥스,n/a,n/a
조이시티,n/a,n/a
조일알미늄,n/a,96.2
조흥,6.54,7.37
종근당,10.21,11.54
종근당바이오,5.49,6.8
종근당홀딩스,6.55,7.17
좋은사람들,4.58,27.41
주노콜렉션,n/a,70.95
주성엔지니어링,22.21,6.94
주연테크,n/a,320.54
줌인터넷,32.65,12.37
중앙리빙테크,n/a,n/a
중앙백신,4.62,21.83
중앙에너비스,1.97,21.16
중앙오션,n/a,364.07
지노믹트리,n/a,n/a
지놈앤컴퍼니,n/a,n/a
지니뮤직,5.02,31.18
지니언스,8.27,17.9
지란지교시큐리티,5.04,12.21
지스마트글로벌,n/a,n/a
지앤이헬스케어,16.09,24.22
지어소프트,12.42,16.76
지에스이,8.99,4.78
지엔씨에너지,9.68,9.69
지엔코,n/a,n/a
지엘팜텍,n/a,n/a
지엠비코리아,0.06,9.3
지엠피,17.62,16.68
지역난방공사,n/a,13.79
지오씨,7.59,16.33
지와이커머스,n/a,n/a
지코,12.21,10.74
지투알,11.25,4.34
지투하이소닉,n/a,n/a
지트리비앤티,8.54,n/a
지티지웰니스,n/a,n/a
진도,5.4,11.93
진로발효,14.75,11.97
진매트릭스,n/a,n/a
진바이오텍,6.07,4.16
진성티이씨,19.4,6.14
진양산업,6.93,15.47
진양제약,2.21,14.89
진양폴리우레탄,5.15,10.91
진양홀딩스,0.36,12.67
진양화학,n/a,184.66
진에어,17.86,7.0
진원생명과학,n/a,n/a
진흥기업,7.83,8.67
질경이,n/a,n/a
차바이오텍,8.75,37.84
차이나그레이트,6.73,0.75
참엔지니어링,17.39,5.81
참좋은여행,13.06,7.78
창해에탄올,3.46,11.91
천보,24.53,0.0
천일고속,n/a,n/a
청광종건,10.41,3.14
청담러닝,11.47,7.5
청보산업,0.6,11.87
청호컴넷,6.16,n/a
체리부로,n/a,15.72
체시스,n/a,10.48
초록뱀,n/a,66.66
칩스앤미디어,9.6,18.28
카스,6.59,7.44
카이노스메드,n/a,n/a
카카오,1.04,43.65
카페24,n/a,47.82
카프로,3.77,5.23
캐스텍코리아,0.92,10.22
캔서롭,n/a,n/a
캠시스,14.75,4.83
컨버즈,n/a,n/a
컬러레이,21.94,3.1
컴투스,16.15,11.12
컴퍼니케이,25.53,n/a
케미메디,n/a,n/a
케어랩스,8.54,20.5
케어젠,12.76,19.78
케이디켐,9.83,6.35
케이맥,14.37,8.69
케이비17호스팩,n/a,n/a
케이비아이동국실업,n/a,6.63
케이비제10호스팩,0.62,n/a
케이비제11호스팩,0.33,n/a
케이사인,n/a,17.59
케이씨,67.41,2.61
케이씨씨,n/a,8.11
케이씨에스,14.21,15.53
케이씨텍,23.54,2.43
케이씨티,3.11,15.57
케이씨티시,3.88,7.24
케이씨피드,1.7,25.05
케이아이엔엑스,19.55,7.69
케이에스피,n/a,n/a
케이엔더블유,1.56,6.82
케이엘넷,5.55,11.19
케이엠,6.07,8.48
케이엠더블유,n/a,n/a
케이엠제약,14.19,5.41
케이탑리츠,5.33,21.33
케이티,5.5,2.65
케이티스카이라이프,8.33,3.36
케이티앤지,11.38,9.95
케이프,1.73,13.68
케이피에스,24.03,3.97
케이피에프,6.51,6.7
케이피엠테크,33.13,n/a
케이피티유,6.92,17.19
켐온,2.51,44.38
켐트로닉스,1.4,7.94
켐트로스,16.68,11.55
코나아이,n/a,n/a
코너스톤네트웍스,n/a,n/a
코닉글로리,n/a,84.7
코다코,n/a,30.91
코데즈컴바인,11.06,19.59
코드네이처,n/a,n/a
코디,n/a,n/a
코디엠,n/a,n/a
코렌,21.65,3.14
코렌텍,n/a,38.01
코리아나,2.22,28.85
코리아써키트,n/a,16.16
코리아에스이,n/a,n/a
코리아에프티,3.47,6.48
코리아오토글라스,13.07,3.32
코리안리,4.68,n/a
코맥스,4.66,7.56
코메론,9.88,4.51
코미코,36.03,4.07
코미팜,n/a,n/a
코세스,51.64,9.19
코센,n/a,190.28
코셋,n/a,n/a
코스맥스,13.49,22.58
코스맥스비티아이,3.23,13.57
코스맥스엔비티,8.67,16.48
코스메카코리아,7.53,24.41
코스모신소재,12.86,17.8
코스모화학,n/a,19.11
코스온,n/a,34.75
코아스,n/a,14.48
코아스템,n/a,n/a
코아시아,n/a,9.95
코엔텍,17.86,9.69
코오롱,0.2,12.63
코오롱글로벌,3.59,7.8
코오롱머티리얼,n/a,n/a
코오롱생명과학,n/a,n/a
코오롱인더,3.04,10.85
코오롱티슈진,n/a,n/a
코오롱플라스틱,6.28,8.06
코웰패션,26.8,6.06
코위버,6.39,215.65
코이즈,n/a,n/a
코콤,12.88,6.45
코텍,12.72,4.8
코프라,4.85,6.83
콜마비앤에이치,25.89,9.43
콤텍시스템,9.74,14.22
쿠첸,1.13,8.37
쿠쿠홀딩스,17.49,11.96
쿠쿠홈시스,9.51,6.24
큐렉소,n/a,n/a
큐로,n/a,n/a
큐로컴,n/a,n/a
큐로홀딩스,n/a,n/a
큐리언트,n/a,n/a
큐브엔터,6.78,31.93
큐에스아이,n/a,25.84
큐엠씨,14.26,8.5
큐캐피탈,n/a,n/a
크라운제과,10.99,7.04
크라운해태홀딩스,1.63,9.33
크로넥스,n/a,n/a
크로바하이텍,n/a,n/a
크루셜텍,n/a,n/a
크리스에프앤씨,20.69,6.21
크리스탈,5.0,231.75
크리스탈신소재,11.08,1.97
크린앤사이언스,20.01,9.43
클래시스,34.51,13.88
클리오,0.7,144.18
키네마스터,n/a,n/a
키다리스튜디오,0.91,54.21
키움제5호스팩,n/a,n/a
키움증권,10.84,n/a
키위미디어그룹,n/a,n/a
키이스트,n/a,10.5
타이거일렉,5.34,5.27
탑선,68.32,2.39
탑엔지니어링,10.15,4.44
태경산업,5.82,7.67
태경화학,2.83,9.41
태광,2.39,34.32
태광산업,7.39,3.98
태림포장,6.94,7.95
태양,1.22,18.34
태양금속공업,n/a,11.03
태양기계,0.57,14.34
태영건설,19.21,4.61
태웅,n/a,n/a
태원물산,1.1,57.36
태평양물산,7.14,8.19
테고사이언스,n/a,238.07
테라셈,n/a,n/a
테라젠이텍스,n/a,n/a
테스,21.09,3.8
테스나,21.87,4.12
테이팩스,5.63,11.36
테크엔,2.35,14.47
테크윙,12.77,8.58
테크트랜스,n/a,n/a
텔레칩스,10.3,7.3
텔레필드,n/a,n/a
텔코웨어,5.8,16.92
텔콘RF제약,n/a,n/a
토니모리,n/a,n/a
토박스코리아,n/a,n/a
토비스,11.45,3.39
토탈소프트,37.13,8.77
토필드,n/a,n/a
톱텍,5.96,27.07
투비소프트,n/a,n/a
툴젠,n/a,n/a
트루윈,n/a,12.67
특수건설,0.94,21.9
티로보틱스,22.72,6.85
티비씨,3.21,14.06
티비에이치글로벌,n/a,4.45
티씨엠생명과학,n/a,n/a
티씨케이,28.43,6.88
티앤알바이오팹,n/a,n/a
티에스아이,52.66,5.78
티에스이,8.91,3.39
티에이치엔,12.93,5.44
티엘아이,n/a,n/a
티웨이항공,28.89,5.85
티웨이홀딩스,18.49,4.96
티케이씨,5.64,51.38
티케이케미칼,11.04,7.17
티플랙스,2.54,18.98
티피씨글로벌,4.63,13.39
틸론,12.18,16.96
팅크웨어,1.7,5.16
파나진,n/a,n/a
