종목명,ROE(자본수익률),EV/EABITDA(이익수익률)
경창산업,n/a,7.48
계룡건설산업,24.46,2.85
계양전기,5.16,6.29
고려개발,0.58,7.33
고려산업,4.34,11.81
고려시멘트,5.67,13.28
고려신용정보,25.63,6.63
고려아연,8.64,8.1
고려제강,0.25,6.12
고려제약,10.96,17.42
고영,21.86,22.43
골드퍼시픽,n/a,n/a
골든브릿지이안5호,n/a,n/a
골든센츄리,14.99,2.25
골프존,10.63,6.1
골프존뉴딘홀딩스,n/a,26.12
골프존데카,n/a,n/a
관악산업,9.29,3.02
광동제약,5.61,7.48
광림,n/a,45.72
광명전기,2.93,22.12
광전자,3.07,11.39
광주신세계,7.52,5.14
광진실업,0.92,13.42
광진윈텍,n/a,n/a
교보7호스팩,0.23,n/a
교보8호스팩,n/a,n/a
교보증권,9.11,n/a
구영테크,9.65,9.06
국도화학,9.5,4.68
국동,6.53,10.03
국보,n/a,n/a
국보디자인,13.35,5.98
국순당,n/a,n/a
국영지앤엠,n/a,101.78
국일신동,2.46,27.76
국일제지,n/a,105.63
국제약품,3.21,16.64
굿센,n/a,n/a
그린케미칼,2.32,5.61
그린플러스,9.27,7.33
극동유화,10.57,8.18
글로벌에스엠,n/a,7.18
글로벌텍스프리,12.13,41.72
글로본,6.66,51.08
금강공업,5.18,4.95
금강철강,4.86,29.56
금비,7.15,5.86
금양,29.84,8.48
금호산업,n/a,11.71
금호석유화학,23.45,5.25
금호에이치티,7.23,6.22
금호전기,n/a,n/a
금호타이어,n/a,21.84
금화피에스시,19.69,4.14
기가레인,n/a,33.06
기산텔레콤,n/a,n/a
기신정기,3.94,10.93
기아자동차,4.27,4.42
기업은행,8.62,n/a
까뮤이앤씨,2.93,17.71
깨끗한나라,n/a,n/a
나노,n/a,12.67
나노메딕스,n/a,n/a
나노스,n/a,750.95
나노신소재,8.93,13.39
나노엔텍,11.24,20.68
나노캠텍,1.8,15.96
나눔테크,36.43,5.85
나라소프트,41.31,41.64
나라엠앤디,4.74,11.26
나무가,12.19,5.29
나무기술,n/a,n/a
나스미디어,15.03,9.15
나우아이비캐피탈,3.77,n/a
나이벡,n/a,n/a
나이스디앤비,22.21,9.54
나이스정보통신,15.94,3.82
남광토건,12.37,10.08
남선알미늄,15.94,23.34
남성,n/a,43.42
남양유업,0.23,10.03
남영비비안,n/a,n/a
남해화학,1.97,18.31
남화산업,3.37,39.46
남화토건,0.46,93.16
내츄럴엔도텍,n/a,n/a
네오디안테크놀로지,n/a,n/a
네오셈,n/a,n/a
네오오토,7.73,4.31
네오위즈,11.42,10.49
네오위즈홀딩스,6.6,12.61
네오티스,6.83,6.99
네오팜,28.76,16.79
네오펙트,n/a,n/a
네이블커뮤니케이션즈,n/a,n/a
네이처셀,5.41,293.65
네추럴FNP,1.89,11.56
네패스,17.0,4.06
네패스신소재,n/a,n/a
넥센,6.63,9.56
넥센타이어,7.5,5.59
넥스턴,5.93,29.89
넥스트BT,3.25,26.71
넥스트사이언스,n/a,n/a
넥스트아이,n/a,19.59
넥슨지티,n/a,n/a
넵튠,n/a,n/a
넷게임즈,n/a,n/a
넷마블,4.36,30.11
노랑풍선,11.83,0.0
노루페인트,4.2,7.78
노루홀딩스,n/a,11.91
노바렉스,14.51,10.9
노바텍,29.21,16.55
노브메타파마,n/a,n/a
녹십자,3.28,20.8
녹십자랩셀,2.09,345.22
녹십자셀,24.18,113.09
녹십자엠에스,n/a,n/a
녹십자홀딩스,2.28,24.47
녹원씨엔아이,9.9,7.86
농심,4.54,9.02
농심홀딩스,5.32,7.3
농우바이오,14.28,17.34
누리텔레콤,21.34,3.98
누리플랜,2.46,n/a
뉴로스,n/a,50.55
뉴보텍,3.66,21.5
뉴인텍,n/a,n/a
뉴지랩,n/a,n/a
뉴트리,7.79,10.54
뉴파워프라즈마,10.65,6.85
뉴프라이드,n/a,n/a
뉴프렉스,13.73,5.35
다나와,19.68,9.34
다날,1.74,25.45
다믈멀티미디어,n/a,n/a
다산네트웍스,n/a,17.24
다스코,14.67,5.84
다우기술,9.78,5.59
다우데이타,7.28,5.9
다원넥스뷰,2.87,4.09
다원시스,4.31,25.84
다이노나,n/a,n/a
다이오진,34.1,18.22
대교,2.94,11.43
대구백화점,n/a,n/a
대덕전자,35.2,8.93
대동고려삼,5.39,12.15
대동공업,0.58,15.15
대동금속,2.83,10.79
대동기어,0.35,10.64
대동스틸,0.07,638.01
대동전자,0.44,16.65
대륙제관,3.56,6.26
대림비앤코,2.62,8.9
대림산업,12.37,4.48
대림씨엔에스,n/a,12.31
대림제지,9.12,5.7
대림통상,n/a,22.86
대명코퍼레이션,n/a,16.81
대보마그네틱,18.44,52.99
대봉엘에스,8.65,7.4
대상,7.27,7.0
대상홀딩스,4.55,6.29
대성미생물,10.02,15.34
대성산업,n/a,21.91
대성에너지,4.28,3.82
대성엘텍,n/a,18.62
대성창투,3.27,n/a
대성파인텍,5.93,26.89
대성홀딩스,4.79,5.65
대신밸런스제4호스팩,0.54,n/a
대신밸런스제5호스팩,n/a,n/a
대신밸런스제6호스팩,n/a,n/a
대신정보통신,3.57,n/a
대신증권,7.34,n/a
대아티아이,7.16,59.06
대양금속,19.3,6.86
대양전기공업,6.69,8.38
대양제지,30.75,2.59
대영포장,7.88,8.9
대우건설,13.2,4.77
대우부품,2.98,20.82
대우조선해양,9.53,5.53
대웅,5.36,10.95
대웅제약,n/a,33.64
대원,11.72,4.72
대원강업,3.77,5.07
대원모방,4.76,36.97
대원미디어,2.89,10.18
대원산업,10.66,2.7
대원전선,1.53,20.97
대원제약,13.51,7.76
대원화성,3.62,12.32
대유,13.43,22.51
대유에이텍,n/a,11.58
대유에이피,24.53,4.51
대유위니아,n/a,11.22
대유플러스,3.09,2.68
대정화금,9.44,9.34
대주산업,3.31,15.24
대주이엔티,11.54,5.01
대주전자재료,0.58,39.08
대창,5.7,13.47
대창단조,7.11,5.2
대창솔루션,n/a,n/a
대창스틸,n/a,23.13
대한과학,7.19,9.82
대한광통신,14.97,18.4
대한뉴팜,5.18,7.57
대한방직,9.26,n/a
대한약품,22.26,5.11
대한유화,16.22,2.2
대한전선,n/a,18.06
대한제강,n/a,5.9
대한제당,2.16,10.31
대한제분,7.05,5.45
대한항공,n/a,7.24
대한해운,11.88,9.19
대한화섬,9.15,25.37
대현,8.34,4.44
대호에이엘,2.72,33.53
대호피앤씨,3.01,12.35
대화제약,8.65,40.91
더블유게임즈,19.02,8.49
더블유에프엠,n/a,n/a
더존비즈온,23.36,21.94
더콘텐츠온,3.37,25.51
덕산네오룩스,14.28,14.23
덕산하이메탈,6.49,29.06
덕성,n/a,58.88
덕신하우징,12.75,5.02
덕양산업,n/a,3.17
덕우전자,n/a,7.57
데브시스터즈,n/a,n/a
데이타솔루션,n/a,n/a
데이터스트림즈,n/a,266.78
데일리블록체인,n/a,n/a
데코앤이,n/a,n/a
덱스터,5.4,20.01
덴티움,19.25,17.19
도이치모터스,20.58,6.16
도화엔지니어링,5.69,14.13
동구바이오제약,8.32,23.33
동국S&C,n/a,157.43
동국산업,2.82,8.9
동국알앤에스,3.96,6.99
동국제강,n/a,8.54
동국제약,16.27,8.31
동남합성,10.39,7.42
동방,14.67,8.28
동방선기,n/a,n/a
동방아그로,4.69,9.58
동부건설,22.21,4.36
동부스팩5호,0.98,n/a
동부제철,n/a,43.6
동북아12호선박투자,6.0,16.23
동북아13호선박투자,6.0,16.58
동서,9.39,35.99
동성제약,n/a,2120.84
동성코퍼레이션,n/a,15.33
동성화인텍,n/a,n/a
동성화학,5.62,6.85
동신건설,1.13,33.54
동아쏘시오홀딩스,n/a,12.42
동아에스티,1.38,14.84
동아엘텍,11.19,4.96
동아지질,11.32,3.57
동아타이어,4.88,9.39
동아화성,6.56,5.19
동양,0.39,46.69
동양고속,1.17,12.03
동양네트웍스,n/a,n/a
동양물산기업,n/a,23.5
동양생명,2.34,n/a
동양에스텍,n/a,23.15
동양이엔피,2.54,5.65
동양철관,n/a,63.28
동양파일,n/a,196.2
동양피스톤,12.88,5.99
동양피엔에프,20.26,3.71
동우팜투테이블,10.07,5.17
동운아나텍,n/a,n/a
동원F&B,9.26,11.58
동원개발,18.79,2.27
동원금속,n/a,7.03
동원산업,7.35,6.45
동원수산,4.08,8.73
동원시스템즈,13.17,9.36
동일고무벨트,5.65,5.28
동일금속,8.93,6.09
동일기연,n/a,n/a
동일산업,4.48,5.5
동일제강,0.1,13.01
동일철강,n/a,n/a
동진쎄미켐,16.85,5.71
동화기업,7.02,6.33
동화약품,3.39,11.27
두산,n/a,9.29
두산건설,n/a,n/a
두산밥캣,7.38,6.66
두산인프라코어,14.04,5.89
두산중공업,n/a,8.42
두올,9.1,2.19
두올산업,n/a,19.57
두원석재,n/a,10.48
듀오백,n/a,n/a
듀켐바이오,n/a,55.28
드래곤플라이,n/a,n/a
